Variabel,Jumlah Data,Jumlah Data Kosong,Minimum,Q1,Median,Mean,Q3,Maksimum,Standar Deviasi
SST,2357,0,27.9,28.89,29.23,29.30997030123038,29.62,31.78,0.6001864799065373
Prec,2357,722,-0.05,0.0,0.0,0.22592048929663608,0.19,7.97,0.5463346708946335
RH,2357,754,63.1,78.2,80.6,80.36799750467873,82.65,93.2,3.8145909073262287
WSPD,2357,1544,0.3,3.0,4.9,4.875768757687577,6.6,11.0,2.221389705189796
SWRad,2357,779,10.35,173.2175,236.515,216.75550697084915,271.61,329.17,70.50816732034723
