Variabel,Jumlah Data,Jumlah Data Kosong,Minimum,Q1,Median,Mean,Q3,Maksimum,Standar Deviasi
SST,3006,0,27.41,28.55,28.94,29.051699933466402,29.4,31.98,0.7215913762346632
Prec,3006,1437,-0.1,-0.01,0.0,0.17869343530911408,0.1,13.5,0.5803818794411685
RH,3006,217,48.5,76.8,80.3,79.55177482968807,82.7,100.5,4.9294413046767165
WSPD,3006,178,0.0,3.9,5.8,5.713826025459689,7.6,12.1,2.465054625311056
SWRad,3006,50,5.3,184.975,238.0,218.77472936400545,268.0,323.6,67.0253864632856
