Variabel,Jumlah Data,Jumlah Data Kosong,Minimum,Q1,Median,Mean,Q3,Maksimum,Standar Deviasi
SST,4192,0,27.96,29.02,29.38,29.445584446564887,29.84,31.67,0.6008274275818719
Prec,4192,1061,-0.07,0.0,0.0,0.2544969658256148,0.16,9.83,0.7895195050109325
RH,4192,757,64.7,76.4,79.1,79.30558951965065,82.0,96.6,4.313592469010933
WSPD,4192,1378,0.1,2.6,4.0,4.149182658137882,5.5,11.1,2.1024568027004435
SWRad,4192,709,10.48,179.32999999999998,243.3,221.74037037037036,275.95500000000004,332.16,70.90512480581626
