Date,RH_AVG,RH_AVG_SMA30,RH_AVG_EWMA30
2005-01-01,90.0,,90.0
2005-01-02,90.0,,90.0
2005-01-03,90.0,,90.0
2005-01-04,89.0,,89.72446355900851
2005-01-05,88.0,,89.33210634833549
2005-01-06,89.0,,89.26713497277372
2005-01-07,89.0,,89.22093223891564
2005-01-08,90.0,,89.34249479333508
2005-01-09,91.0,,89.57943996940455
2005-01-10,94.0,,90.16541023028272
2005-01-11,94.0,,90.64132574599027
2005-01-12,90.0,,90.56620676248377
2005-01-13,89.0,,90.39192549381576
2005-01-14,91.0,,90.4565669805873
2005-01-15,93.0,,90.71610144998355
2005-01-16,92.0,,90.84237341223962
2005-01-17,94.0,,91.14276381833518
2005-01-18,94.0,,91.40650304374022
2005-01-19,91.0,,91.36999503257597
2005-01-20,93.0,,91.51277424035023
2005-01-21,88.0,,91.21201606290948
2005-01-22,90.0,,91.11038971230506
2005-01-23,92.0,,91.18356791124664
2005-01-24,95.0,,91.49202979850965
2005-01-25,90.0,,91.3733721079062
2005-01-26,89.0,,91.18741480531239
2005-01-27,93.0,,91.32749553206857
2005-01-28,95.0,,91.60773745903356
2005-01-29,93.0,,91.71274020996239
2005-01-30,93.0,91.3,91.80877672763819
2005-01-31,89.0,91.26666666666667,91.60131993220169
2005-02-01,89.0,91.23333333333333,91.41096462845054
2005-02-02,93.0,91.33333333333333,91.52624618983428
2005-02-03,94.0,91.5,91.70428243960104
2005-02-04,92.0,91.63333333333334,91.72540778767812
2005-02-05,94.0,91.8,91.8867822141984
2005-02-06,90.0,91.83333333333333,91.75377683966637
2005-02-07,92.0,91.9,91.77103077724831
2005-02-08,89.0,91.83333333333333,91.57792581554155
2005-02-09,91.0,91.73333333333333,91.53785905213654
2005-02-10,92.0,91.66666666666667,91.56974516796419
2005-02-11,89.0,91.63333333333334,91.39323254650138
2005-02-12,88.0,91.6,91.16112409818625
2005-02-13,90.0,91.56666666666666,91.08200687427015
2005-02-14,91.0,91.5,91.07643921898502
2005-02-15,89.0,91.4,90.93593886625655
2005-02-16,92.0,91.33333333333333,91.00771164831329
2005-02-17,94.0,91.33333333333333,91.20895594791735
2005-02-18,91.0,91.33333333333333,91.19494113418696
2005-02-19,90.0,91.23333333333333,91.11499985403651
2005-02-20,90.0,91.3,91.04058400691343
2005-02-21,86.0,91.16666666666667,90.70491871288374
2005-02-22,86.0,90.96666666666667,90.39225544106785
2005-02-23,90.0,90.8,90.36623871237633
2005-02-24,86.0,90.66666666666667,90.0771668055623
2005-02-25,89.0,90.66666666666667,90.00597204718419
2005-02-26,94.0,90.7,90.26953917191506
2005-02-27,90.0,90.53333333333333,90.25177838215768
2005-02-28,92.0,90.5,90.36681583078196
2005-03-01,89.0,90.36666666666666,90.2769914097613
2005-03-02,90.0,90.4,90.258809936623
2005-03-03,92.0,90.5,90.37297192168667
2005-03-04,89.0,90.36666666666666,90.28304670493664
2005-03-05,89.0,90.2,90.19909362606066
2005-03-06,87.0,90.03333333333333,89.98996028397379
2005-03-07,90.0,89.9,89.99061604547703
2005-03-08,89.0,89.86666666666666,89.92596399760339
2005-03-09,86.0,89.66666666666667,89.66992957726758
2005-03-10,89.0,89.66666666666667,89.626270204922
2005-03-11,89.0,89.6,89.58548279136721
2005-03-12,88.0,89.46666666666667,89.48228734971451
2005-03-13,89.0,89.46666666666667,89.45091430350158
2005-03-14,95.0,89.7,89.81169245276402
2005-03-15,91.0,89.73333333333333,89.88891261458572
2005-03-16,92.0,89.76666666666667,90.02603400690235
2005-03-17,89.0,89.76666666666667,89.95941915242825
2005-03-18,88.0,89.63333333333334,89.83225657746286
2005-03-19,86.0,89.36666666666666,89.58364537851715
2005-03-20,89.0,89.3,89.54579588579284
2005-03-21,88.0,89.23333333333333,89.44558425761834
2005-03-22,96.0,89.43333333333334,89.8703645079391
2005-03-23,90.0,89.56666666666666,89.87876350446561
2005-03-24,91.0,89.73333333333333,89.95138782354873
2005-03-25,91.0,89.76666666666667,90.01929079737398
2005-03-26,95.0,90.06666666666666,90.34174000823407
2005-03-27,92.0,90.16666666666667,90.44907113923263
2005-03-28,95.0,90.2,90.74356914714457
2005-03-29,92.0,90.26666666666667,90.82485893907443
2005-03-30,92.0,90.26666666666667,90.90087546502352
2005-03-31,96.0,90.5,91.23066689690812
2005-04-01,93.0,90.6,91.34508214017835
2005-04-02,94.0,90.66666666666667,91.51673869894327
2005-04-03,94.0,90.83333333333333,91.67727415326942
2005-04-04,87.0,90.76666666666667,91.3749418701391
2005-04-05,91.0,90.9,91.35070913312202
2005-04-06,88.0,90.83333333333333,91.13417541955035
2005-04-07,88.0,90.8,90.93165651225362
2005-04-08,93.0,91.03333333333333,91.06529188358128
2005-04-09,88.0,91.0,90.86726238204456
2005-04-10,88.0,90.96666666666667,90.68204257693723
2005-04-11,91.0,91.06666666666666,90.7025803495337
2005-04-12,89.0,91.06666666666666,90.5926142868266
2005-04-13,90.0,90.9,90.55434133009474
2005-04-14,91.0,90.9,90.58312148370096
2005-04-15,89.0,90.8,90.4808916337616
2005-04-16,90.0,90.83333333333333,90.44983994702997
2005-04-17,88.0,90.83333333333333,90.29165985381682
2005-04-18,90.0,90.96666666666667,90.27282906772191
2005-04-19,88.0,90.93333333333334,90.12609272397965
2005-04-20,84.0,90.8,89.73060322703853
2005-04-21,87.0,90.5,89.55432782318346
2005-04-22,90.0,90.5,89.58309727265636
2005-04-23,89.0,90.43333333333334,89.5454580147137
2005-04-24,90.0,90.4,89.57479794599779
2005-04-25,86.0,90.1,89.34405810014674
