Date,Year,Month,Day,Prec,StDev,%Time,Q,S,is_outlier_Prec
2006-11-15,2006,November,15,0.36,1.4,6.0,2,5,False
2006-11-16,2006,November,16,1.8,6.88,11.0,2,5,False
2006-11-17,2006,November,17,0.32,1.22,7.0,2,5,False
2006-11-18,2006,November,18,0.16,0.65,6.0,2,5,False
2006-11-19,2006,November,19,0.31,1.63,5.0,2,5,False
2006-11-20,2006,November,20,0.58,4.6,3.0,2,5,False
2006-11-21,2006,November,21,0.6,4.16,6.0,2,5,False
2006-11-22,2006,November,22,0.2,1.87,2.0,2,5,False
2006-11-23,2006,November,23,-0.01,0.09,0.0,2,5,False
2006-11-24,2006,November,24,0.21,1.31,3.0,2,5,False
2006-11-25,2006,November,25,0.2,1.73,2.0,2,5,False
2006-11-26,2006,November,26,0.41,2.78,5.0,2,5,False
2006-11-27,2006,November,27,0.18,1.88,3.0,2,5,False
2006-11-28,2006,November,28,-0.01,0.04,0.0,2,5,False
2006-11-29,2006,November,29,-0.01,0.04,0.0,2,5,False
2006-11-30,2006,November,30,0.42,2.98,4.0,2,5,False
2006-12-01,2006,Desember,1,0.59,3.0,5.0,2,5,False
2006-12-02,2006,Desember,2,-0.01,0.08,0.0,2,5,False
2006-12-03,2006,Desember,3,-0.02,0.02,0.0,2,5,False
2006-12-04,2006,Desember,4,0.0,0.14,1.0,2,5,False
2006-12-05,2006,Desember,5,0.09,0.81,1.0,2,5,False
2006-12-06,2006,Desember,6,0.0,0.08,0.0,2,5,False
2006-12-07,2006,Desember,7,-0.01,0.03,0.0,2,5,False
2006-12-08,2006,Desember,8,0.05,0.27,2.0,2,5,False
2006-12-09,2006,Desember,9,-0.01,0.02,0.0,2,5,False
2006-12-10,2006,Desember,10,0.0,0.08,0.0,2,5,False
2006-12-11,2006,Desember,11,0.03,0.54,1.0,2,5,False
2006-12-12,2006,Desember,12,0.03,0.26,2.0,2,5,False
2006-12-13,2006,Desember,13,0.62,2.79,8.0,2,5,False
2006-12-14,2006,Desember,14,0.02,0.28,1.0,2,5,False
2006-12-15,2006,Desember,15,0.23,1.48,3.0,2,5,False
2006-12-16,2006,Desember,16,0.06,0.7,1.0,2,5,False
2006-12-17,2006,Desember,17,0.56,2.19,11.0,2,5,False
2006-12-18,2006,Desember,18,0.26,2.47,3.0,2,5,False
2006-12-19,2006,Desember,19,-0.02,0.01,0.0,2,5,False
2006-12-20,2006,Desember,20,-0.02,0.02,0.0,2,5,False
2006-12-21,2006,Desember,21,0.33,3.05,2.0,2,5,False
2006-12-22,2006,Desember,22,-0.02,0.05,0.0,2,5,False
2006-12-23,2006,Desember,23,-0.02,0.02,0.0,2,5,False
2006-12-24,2006,Desember,24,-0.02,0.02,0.0,2,5,False
2006-12-25,2006,Desember,25,-0.03,0.02,0.0,2,5,False
2006-12-26,2006,Desember,26,-0.02,0.01,0.0,2,5,False
2006-12-27,2006,Desember,27,-0.02,0.02,0.0,2,5,False
2006-12-28,2006,Desember,28,-0.02,0.01,0.0,2,5,False
2006-12-29,2006,Desember,29,-0.02,0.02,0.0,2,5,False
2006-12-30,2006,Desember,30,-0.02,0.02,0.0,2,5,False
2006-12-31,2006,Desember,31,-0.02,0.04,0.0,2,5,False
2007-01-01,2007,Januari,1,-0.01,0.04,0.0,2,5,False
2007-01-02,2007,Januari,2,-0.02,0.01,0.0,2,5,False
2007-01-03,2007,Januari,3,-0.02,0.01,0.0,2,5,False
2007-01-04,2007,Januari,4,-0.02,0.02,0.0,2,5,False
2007-01-05,2007,Januari,5,0.01,0.38,1.0,2,5,False
2007-01-06,2007,Januari,6,-0.02,0.01,0.0,2,5,False
2007-01-07,2007,Januari,7,,10.6,44.0,2,5,True
2007-01-08,2007,Januari,8,1.32,6.47,8.0,2,5,False
2007-01-09,2007,Januari,9,0.0,0.1,1.0,2,5,False
2007-01-10,2007,Januari,10,-0.01,0.03,0.0,2,5,False
2007-01-11,2007,Januari,11,-0.02,0.01,0.0,2,5,False
2007-01-12,2007,Januari,12,-0.02,0.02,0.0,2,5,False
2007-01-13,2007,Januari,13,-0.01,0.02,0.0,2,5,False
2007-01-14,2007,Januari,14,-0.01,0.03,0.0,2,5,False
2007-01-15,2007,Januari,15,-0.01,0.03,0.0,2,5,False
2007-01-16,2007,Januari,16,-0.01,0.04,0.0,2,5,False
2007-01-17,2007,Januari,17,-0.01,0.02,0.0,2,5,False
2007-01-18,2007,Januari,18,-0.01,0.03,0.0,2,5,False
2007-01-19,2007,Januari,19,-0.01,0.01,0.0,2,5,False
2007-01-20,2007,Januari,20,-0.01,0.03,0.0,2,5,False
2007-01-21,2007,Januari,21,-0.01,0.02,0.0,2,5,False
2007-01-22,2007,Januari,22,-0.01,0.01,0.0,2,5,False
2007-01-23,2007,Januari,23,-0.01,0.03,0.0,2,5,False
2007-01-24,2007,Januari,24,-0.01,0.04,0.0,2,5,False
2007-01-25,2007,Januari,25,1.72,4.95,20.0,2,5,False
2007-01-26,2007,Januari,26,0.07,0.7,1.0,2,5,False
2007-01-27,2007,Januari,27,-0.01,0.01,0.0,2,5,False
2007-01-28,2007,Januari,28,-0.01,0.02,0.0,2,5,False
2007-01-29,2007,Januari,29,-0.01,0.01,0.0,2,5,False
2007-01-30,2007,Januari,30,-0.01,0.01,0.0,2,5,False
2007-01-31,2007,Januari,31,-0.01,0.01,0.0,2,5,False
2007-02-01,2007,Februari,1,-0.01,0.05,0.0,2,5,False
2007-02-02,2007,Februari,2,0.01,0.17,1.0,2,5,False
2007-02-03,2007,Februari,3,-0.01,0.01,0.0,2,5,False
2007-02-04,2007,Februari,4,-0.01,0.02,0.0,2,5,False
2007-02-05,2007,Februari,5,-0.01,0.05,0.0,2,5,False
2007-02-06,2007,Februari,6,-0.01,0.02,0.0,2,5,False
2007-02-07,2007,Februari,7,-0.01,0.03,0.0,2,5,False
2007-02-08,2007,Februari,8,0.7,4.02,6.0,2,5,False
2007-02-09,2007,Februari,9,0.14,1.09,2.0,2,5,False
2007-02-10,2007,Februari,10,-0.01,0.04,0.0,2,5,False
2007-02-11,2007,Februari,11,-0.01,0.03,0.0,2,5,False
2007-02-12,2007,Februari,12,-0.01,0.02,0.0,2,5,False
2007-02-13,2007,Februari,13,0.0,0.05,0.0,2,5,False
2007-02-14,2007,Februari,14,0.0,0.02,0.0,2,5,False
2007-02-15,2007,Februari,15,-0.01,0.01,0.0,2,5,False
2007-02-16,2007,Februari,16,0.0,13.96,4.0,2,1,False
2007-02-17,2007,Februari,17,-0.01,0.01,0.0,2,5,False
2007-02-18,2007,Februari,18,-0.01,0.04,0.0,2,5,False
2007-02-19,2007,Februari,19,-0.02,0.02,0.0,2,5,False
2007-02-20,2007,Februari,20,-0.02,0.02,0.0,2,5,False
2007-02-21,2007,Februari,21,-0.01,0.03,0.0,2,5,False
2007-02-22,2007,Februari,22,-0.01,0.01,0.0,2,5,False
2007-02-23,2007,Februari,23,-0.01,0.02,0.0,2,5,False
2007-02-24,2007,Februari,24,0.2,18.06,2.0,2,1,False
2007-04-18,2007,April,18,0.0,0.03,0.0,2,5,False
2007-04-19,2007,April,19,0.0,0.03,0.0,2,5,False
2007-04-20,2007,April,20,0.0,0.12,0.0,2,5,False
2007-04-21,2007,April,21,0.0,0.07,0.0,2,5,False
2007-04-22,2007,April,22,0.06,0.36,2.0,2,5,False
2007-04-23,2007,April,23,0.0,0.02,0.0,2,5,False
2007-04-24,2007,April,24,0.0,0.04,0.0,2,5,False
2007-04-25,2007,April,25,0.47,2.54,5.0,2,5,False
2007-04-26,2007,April,26,1.06,9.01,4.0,2,5,False
2007-04-27,2007,April,27,1.44,4.0,15.0,2,5,False
2007-04-28,2007,April,28,0.13,0.73,2.0,2,5,False
2007-04-29,2007,April,29,0.0,0.06,0.0,2,5,False
2007-04-30,2007,April,30,0.0,0.02,0.0,2,5,False
2007-05-01,2007,Mei,1,-0.01,0.02,0.0,2,5,False
2007-05-02,2007,Mei,2,-0.01,0.01,0.0,2,5,False
2007-05-03,2007,Mei,3,-0.01,0.01,0.0,2,5,False
2007-05-04,2007,Mei,4,-0.01,0.01,0.0,2,5,False
2007-05-05,2007,Mei,5,-0.01,0.02,0.0,2,5,False
2007-05-06,2007,Mei,6,0.12,0.48,6.0,2,5,False
2007-05-07,2007,Mei,7,-0.01,0.08,0.0,2,5,False
2007-05-08,2007,Mei,8,0.07,0.69,1.0,2,5,False
2007-05-09,2007,Mei,9,-0.01,0.05,0.0,2,5,False
