Date,Year,Month,Day,SWRad,StDev,Max
2005-01-01,2005,1,1,681.56,2,5
2005-01-02,2005,1,2,289.75,2,5
2005-01-03,2005,1,3,694.65,2,5
2005-01-04,2005,1,4,1284.63,2,5
2005-01-05,2005,1,5,645.0,2,5
2005-01-06,2005,1,6,1440.81,2,5
2005-01-07,2005,1,7,1116.26,2,5
2005-01-08,2005,1,8,1175.39,2,5
2005-01-09,2005,1,9,956.01,2,5
2005-01-10,2005,1,10,1267.93,2,5
2005-01-11,2005,1,11,1221.43,2,5
2005-01-12,2005,1,12,1231.36,2,5
2005-01-13,2005,1,13,1166.36,2,5
2005-01-14,2005,1,14,1138.83,2,5
2005-01-15,2005,1,15,1072.47,2,5
2005-01-16,2005,1,16,1176.29,2,5
2005-01-17,2005,1,17,1040.42,2,5
2005-01-18,2005,1,18,1041.78,2,5
2005-01-19,2005,1,19,1060.28,2,5
2005-01-20,2005,1,20,1238.59,2,5
2005-01-21,2005,1,21,1082.85,2,5
2005-01-22,2005,1,22,1184.87,2,5
2005-01-23,2005,1,23,1090.98,2,5
2005-01-24,2005,1,24,1293.21,2,5
2005-01-25,2005,1,25,1411.47,2,5
2005-01-26,2005,1,26,748.82,2,5
2005-01-27,2005,1,27,1219.63,2,5
2005-01-28,2005,1,28,1386.64,2,5
2005-01-29,2005,1,29,1297.27,2,5
2005-01-30,2005,1,30,1299.53,2,5
2005-01-31,2005,1,31,1272.44,2,5
2005-02-01,2005,2,1,1287.79,2,5
2005-02-02,2005,2,2,1165.46,2,5
2005-02-03,2005,2,3,1297.72,2,5
2005-02-04,2005,2,4,1288.69,2,5
2005-02-05,2005,2,5,1222.79,2,5
2005-02-06,2005,2,6,1419.15,2,5
2005-02-07,2005,2,7,1102.72,2,5
2005-02-08,2005,2,8,1104.97,2,5
2005-02-09,2005,2,9,1273.34,2,5
2005-02-10,2005,2,10,1346.47,2,5
2005-02-11,2005,2,11,1119.87,2,5
2005-02-12,2005,2,12,1194.35,2,5
2005-02-13,2005,2,13,1241.29,2,5
2005-02-14,2005,2,14,1105.88,2,5
2005-02-15,2005,2,15,1122.13,2,5
2005-02-16,2005,2,16,1176.75,2,5
2005-02-17,2005,2,17,1208.34,2,5
2005-02-18,2005,2,18,1419.6,2,5
2005-02-19,2005,2,19,1408.76,2,5
2005-02-20,2005,2,20,1402.44,2,5
2005-02-21,2005,2,21,1205.63,2,5
2005-02-22,2005,2,22,1013.34,2,5
2005-02-23,2005,2,23,1282.37,2,5
2005-02-24,2005,2,24,1291.4,2,5
2005-02-25,2005,2,25,1255.29,2,5
2005-02-26,2005,2,26,1292.3,2,5
2005-02-27,2005,2,27,1287.34,2,5
2005-02-28,2005,2,28,1505.36,2,5
2005-03-01,2005,3,1,1118.97,2,5
2005-03-02,2005,3,2,1252.58,2,5
2005-03-03,2005,3,3,1274.7,2,5
2005-03-04,2005,3,4,1146.95,2,5
2005-03-05,2005,3,5,1190.29,2,5
2005-03-06,2005,3,6,1117.61,2,5
2005-03-07,2005,3,7,1104.52,2,5
2005-03-08,2005,3,8,1084.21,2,5
2005-03-09,2005,3,9,1156.88,2,5
2005-03-10,2005,3,10,1368.14,2,5
2005-03-11,2005,3,11,1202.47,2,5
2005-03-12,2005,3,12,1227.75,2,5
2005-03-13,2005,3,13,1109.94,2,5
2005-03-14,2005,3,14,1016.05,2,5
2005-03-15,2005,3,15,1150.56,2,5
2005-03-16,2005,3,16,1208.34,2,5
2005-03-17,2005,3,17,927.12,2,5
2005-03-18,2005,3,18,1239.04,2,5
2005-03-19,2005,3,19,825.11,2,5
2005-03-20,2005,3,20,1245.36,2,5
2005-03-21,2005,3,21,291.1,2,5
2005-03-22,2005,3,22,1270.64,2,5
