Date,Year,Month,Day,SWRad,StDev,Max
2006-11-15,2006,11,15,982.0,2,5
2006-11-16,2006,11,16,465.4,2,5
2006-11-17,2006,11,17,1054.0,2,5
2006-11-18,2006,11,18,1017.5,2,5
2006-11-19,2006,11,19,430.4,2,5
2006-11-20,2006,11,20,948.9,2,5
2006-11-21,2006,11,21,1073.4,2,5
2006-11-22,2006,11,22,1049.8,2,5
2006-11-23,2006,11,23,1064.4,2,5
2006-11-24,2006,11,24,1085.7,2,5
2006-11-25,2006,11,25,1014.7,2,5
2006-11-26,2006,11,26,1099.0,2,5
2006-11-27,2006,11,27,1040.3,2,5
2006-11-28,2006,11,28,1054.5,2,5
2006-11-29,2006,11,29,961.7,2,5
2006-11-30,2006,11,30,975.4,2,5
2006-12-01,2006,12,1,965.0,2,5
2006-12-02,2006,12,2,975.4,2,5
2006-12-03,2006,12,3,991.5,2,5
2006-12-04,2006,12,4,998.1,2,5
2006-12-05,2006,12,5,1039.8,2,5
2006-12-06,2006,12,6,1052.6,2,5
2006-12-07,2006,12,7,984.4,2,5
2006-12-08,2006,12,8,1159.6,2,5
2006-12-09,2006,12,9,1046.0,2,5
2006-12-10,2006,12,10,957.9,2,5
2006-12-11,2006,12,11,997.2,2,5
2006-12-12,2006,12,12,1161.5,2,5
2006-12-13,2006,12,13,1136.4,2,5
2006-12-14,2006,12,14,975.9,2,5
2006-12-15,2006,12,15,956.5,2,5
2006-12-16,2006,12,16,968.3,2,5
2006-12-17,2006,12,17,978.2,2,5
2006-12-18,2006,12,18,1032.7,2,5
2006-12-19,2006,12,19,956.9,2,5
2006-12-20,2006,12,20,937.1,2,5
2006-12-21,2006,12,21,997.2,2,5
2006-12-22,2006,12,22,902.0,2,5
2006-12-23,2006,12,23,937.5,2,5
2006-12-24,2006,12,24,912.0,2,5
2006-12-25,2006,12,25,983.0,2,5
2006-12-26,2006,12,26,964.0,2,5
2006-12-27,2006,12,27,1012.3,2,5
2006-12-28,2006,12,28,1010.5,2,5
2006-12-29,2006,12,29,1043.1,2,5
2006-12-30,2006,12,30,1040.8,2,5
2006-12-31,2006,12,31,971.1,2,5
2007-01-01,2007,1,1,1066.8,2,5
2007-01-02,2007,1,2,1037.0,2,5
2007-01-03,2007,1,3,924.8,2,5
2007-01-04,2007,1,4,1006.7,2,5
2007-01-05,2007,1,5,970.2,2,5
2007-01-06,2007,1,6,878.8,2,5
2007-01-07,2007,1,7,319.6,2,5
2007-01-08,2007,1,8,257.6,2,5
2007-01-09,2007,1,9,907.2,2,5
2007-01-10,2007,1,10,1010.5,2,5
2007-01-11,2007,1,11,924.3,2,5
2007-01-12,2007,1,12,956.9,2,5
2007-01-13,2007,1,13,942.7,2,5
2007-01-14,2007,1,14,910.5,2,5
2007-01-15,2007,1,15,894.0,2,5
2007-01-16,2007,1,16,882.6,2,5
2007-01-17,2007,1,17,966.4,2,5
2007-01-18,2007,1,18,898.2,2,5
2007-01-19,2007,1,19,889.2,2,5
2007-01-20,2007,1,20,977.3,2,5
2007-01-21,2007,1,21,941.3,2,5
2007-01-22,2007,1,22,1023.7,2,5
2007-01-23,2007,1,23,968.8,2,5
2007-01-24,2007,1,24,844.7,2,5
2007-01-25,2007,1,25,1008.6,2,5
2007-01-26,2007,1,26,1018.5,2,5
2007-01-27,2007,1,27,999.1,2,5
2007-01-28,2007,1,28,972.6,2,5
2007-01-29,2007,1,29,948.9,2,5
2007-01-30,2007,1,30,927.1,2,5
2007-01-31,2007,1,31,930.4,2,5
2007-02-01,2007,2,1,939.0,2,5
2007-02-02,2007,2,2,948.4,2,5
2007-02-03,2007,2,3,1019.0,2,5
2007-02-04,2007,2,4,937.5,2,5
2007-02-05,2007,2,5,971.1,2,5
2007-02-06,2007,2,6,1002.4,2,5
2007-02-07,2007,2,7,1061.1,2,5
2007-02-08,2007,2,8,988.2,2,5
2007-02-09,2007,2,9,1188.0,2,5
2007-02-10,2007,2,10,1092.4,2,5
2007-02-11,2007,2,11,1030.3,2,5
2007-02-12,2007,2,12,1084.3,2,5
2007-02-13,2007,2,13,1106.6,2,5
2007-02-14,2007,2,14,1104.7,2,5
2007-02-15,2007,2,15,1047.9,2,5
2007-02-16,2007,2,16,1033.2,2,5
2007-02-17,2007,2,17,1043.1,2,5
2007-02-18,2007,2,18,1028.9,2,5
2007-02-19,2007,2,19,1111.3,2,5
2007-02-20,2007,2,20,1062.1,2,5
2007-02-21,2007,2,21,1110.4,2,5
2007-02-22,2007,2,22,1084.8,2,5
2007-02-23,2007,2,23,1114.6,2,5
2007-02-24,2007,2,24,1202.2,4,5
2007-02-25,2007,2,25,1118.9,4,5
2007-02-26,2007,2,26,1118.9,4,5
2007-02-27,2007,2,27,1085.3,4,5
2007-02-28,2007,2,28,1113.2,4,5
2007-03-01,2007,3,1,1023.2,4,5
2007-03-02,2007,3,2,1025.1,4,5
2007-03-03,2007,3,3,1030.3,4,5
2007-03-04,2007,3,4,1049.8,4,5
2007-03-05,2007,3,5,1027.0,4,5
2007-03-06,2007,3,6,1126.9,4,5
2007-03-07,2007,3,7,1071.5,4,5
2007-03-08,2007,3,8,1020.4,4,5
2007-03-09,2007,3,9,1127.9,4,5
2007-03-10,2007,3,10,1098.5,4,5
2007-03-11,2007,3,11,1090.5,4,5
2007-04-19,2007,4,19,1023.2,2,5
2007-04-20,2007,4,20,1018.5,2,5
2007-04-21,2007,4,21,1010.9,2,5
2007-04-22,2007,4,22,759.5,2,5
2007-04-23,2007,4,23,1106.1,2,5
2007-04-24,2007,4,24,1129.8,2,5
2007-04-25,2007,4,25,1124.1,2,5
2007-04-26,2007,4,26,1238.2,2,5
2007-04-27,2007,4,27,1222.1,2,5
2007-04-28,2007,4,28,385.9,2,5
2007-04-29,2007,4,29,1155.3,2,5
2007-04-30,2007,4,30,1065.4,2,5
2007-05-01,2007,5,1,1051.2,2,5
2007-05-02,2007,5,2,1120.3,2,5
2007-05-03,2007,5,3,1173.8,2,5
2007-05-04,2007,5,4,1110.4,2,5
2007-05-05,2007,5,5,952.7,2,5
2007-05-06,2007,5,6,1065.8,2,5
2007-05-07,2007,5,7,1130.7,2,5
2007-05-08,2007,5,8,761.4,2,5
2007-05-09,2007,5,9,582.9,2,5
2007-05-10,2007,5,10,1024.2,2,5
2007-05-11,2007,5,11,1006.7,2,5
2007-05-12,2007,5,12,855.6,2,5
2007-05-13,2007,5,13,912.9,2,5
2007-05-14,2007,5,14,1022.3,2,5
2007-05-15,2007,5,15,1001.0,2,5
2007-05-16,2007,5,16,1073.9,2,5
2007-05-17,2007,5,17,1082.0,2,5
2007-05-18,2007,5,18,974.5,2,5
2007-05-19,2007,5,19,1067.3,2,5
2007-05-20,2007,5,20,1004.8,2,5
2007-05-21,2007,5,21,982.5,2,5
2007-05-22,2007,5,22,986.3,2,5
2007-05-23,2007,5,23,1017.5,2,5
2007-05-24,2007,5,24,1200.3,2,5
2007-05-25,2007,5,25,1050.7,2,5
2007-05-26,2007,5,26,1052.1,2,5
2007-05-27,2007,5,27,983.5,2,5
2007-05-28,2007,5,28,1058.8,2,5
2007-05-29,2007,5,29,1226.8,2,5
2007-05-30,2007,5,30,1109.9,2,5
2007-05-31,2007,5,31,993.4,2,5
2007-06-01,2007,6,1,1029.4,2,5
2007-06-02,2007,6,2,1061.1,2,5
2007-06-03,2007,6,3,1169.1,2,5
2007-06-04,2007,6,4,1118.4,2,5
2007-06-05,2007,6,5,995.8,2,5
2007-06-06,2007,6,6,1055.4,2,5
2007-06-07,2007,6,7,1119.3,2,5
2007-06-08,2007,6,8,385.0,2,5
2007-06-09,2007,6,9,982.5,2,5
2007-06-10,2007,6,10,1125.0,2,5
