_id,forecast_date,split_ratio,config_id,timestamp,parameters.RR_imputed.forecast_value,parameters.RR_imputed.model_metadata.alpha,parameters.RR_imputed.model_metadata.beta,parameters.RR_imputed.model_metadata.gamma,parameters.RR_imputed.model_metadata.use_seasonal,parameters.RR_imputed.model_metadata.seasonal_periods,parameters.RR_imputed.model_metadata.lambda_boxcox,parameters.TAVG.forecast_value,parameters.TAVG.model_metadata.alpha,parameters.TAVG.model_metadata.beta,parameters.TAVG.model_metadata.gamma,parameters.TAVG.model_metadata.use_seasonal,parameters.TAVG.model_metadata.seasonal_periods,parameters.TAVG.model_metadata.lambda_boxcox,parameters.RH_AVG_preprocessed.forecast_value,parameters.RH_AVG_preprocessed.model_metadata.alpha,parameters.RH_AVG_preprocessed.model_metadata.beta,parameters.RH_AVG_preprocessed.model_metadata.gamma,parameters.RH_AVG_preprocessed.model_metadata.use_seasonal,parameters.RH_AVG_preprocessed.model_metadata.seasonal_periods,parameters.RH_AVG_preprocessed.model_metadata.lambda_boxcox,parameters.ALLSKY_SFC_SW_DWN.forecast_value,parameters.ALLSKY_SFC_SW_DWN.model_metadata.alpha,parameters.ALLSKY_SFC_SW_DWN.model_metadata.beta,parameters.ALLSKY_SFC_SW_DWN.model_metadata.gamma,parameters.ALLSKY_SFC_SW_DWN.model_metadata.use_seasonal,parameters.ALLSKY_SFC_SW_DWN.model_metadata.seasonal_periods,parameters.ALLSKY_SFC_SW_DWN.model_metadata.lambda_boxcox
696216e2aea0d23a7f0be6e1,2025-10-16,70:30,696214b20098e8183c290a34,2026-01-10T16:06:32.914027,3.6242894080965575,0.3,0.1,0.3,true,182,,29.933111222478036,0.5,0.1,0.5,true,730,,68.07356009331266,0.5,0.3,0.5,true,365,,15.655398028633897,0.3,0.1,0.5,true,365,
696216e2aea0d23a7f0be6e2,2025-10-17,70:30,696214b20098e8183c290a34,2026-01-10T16:06:32.914049,3.064461401877746,0.3,0.1,0.3,true,182,,29.090129425252087,0.5,0.1,0.5,true,730,,70.30741200348473,0.5,0.3,0.5,true,365,,15.336122075896485,0.3,0.1,0.5,true,365,
696216e2aea0d23a7f0be6e3,2025-10-18,70:30,696214b20098e8183c290a34,2026-01-10T16:06:32.914072,0.3639278458983566,0.3,0.1,0.3,true,182,,29.067252506874425,0.5,0.1,0.5,true,730,,70.8315523598819,0.5,0.3,0.5,true,365,,15.125670498019748,0.3,0.1,0.5,true,365,
696216e2aea0d23a7f0be6e4,2025-10-19,70:30,696214b20098e8183c290a34,2026-01-10T16:06:32.914095,1.4068062952270939,0.3,0.1,0.3,true,182,,29.257758459104785,0.5,0.1,0.5,true,730,,66.96647913136462,0.5,0.3,0.5,true,365,,16.790569411612307,0.3,0.1,0.5,true,365,
696216e2aea0d23a7f0be6e5,2025-10-20,70:30,696214b20098e8183c290a34,2026-01-10T16:06:32.914117,5.076423976223502,0.3,0.1,0.3,true,182,,30.06473827133345,0.5,0.1,0.5,true,730,,69.3075358944362,0.5,0.3,0.5,true,365,,16.429282019261294,0.3,0.1,0.5,true,365,
696216e2aea0d23a7f0be6e6,2025-10-21,70:30,696214b20098e8183c290a34,2026-01-10T16:06:32.914140,3.521023218333599,0.3,0.1,0.3,true,182,,29.839509634487687,0.5,0.1,0.5,true,730,,70.244562870772,0.5,0.3,0.5,true,365,,16.784301621519656,0.3,0.1,0.5,true,365,
696216e2aea0d23a7f0be6e7,2025-10-22,70:30,696214b20098e8183c290a34,2026-01-10T16:06:32.914162,3.0688017884969883,0.3,0.1,0.3,true,182,,30.19081704914845,0.5,0.1,0.5,true,730,,69.33746506934891,0.5,0.3,0.5,true,365,,17.550668710599368,0.3,0.1,0.5,true,365,
696216e2aea0d23a7f0be6e8,2025-10-23,70:30,696214b20098e8183c290a34,2026-01-10T16:06:32.914187,0.6993161778727606,0.3,0.1,0.3,true,182,,29.989033039527367,0.5,0.1,0.5,true,730,,69.62530529398855,0.5,0.3,0.5,true,365,,17.55661695422398,0.3,0.1,0.5,true,365,
696216e2aea0d23a7f0be6e9,2025-10-24,70:30,696214b20098e8183c290a34,2026-01-10T16:06:32.914210,1.3231722807295765,0.3,0.1,0.3,true,182,,29.75401127510771,0.5,0.1,0.5,true,730,,70.50342758544248,0.5,0.3,0.5,true,365,,17.608579245771345,0.3,0.1,0.5,true,365,
696216e2aea0d23a7f0be6ea,2025-10-25,70:30,696214b20098e8183c290a34,2026-01-10T16:06:32.914233,3.3171957260156053,0.3,0.1,0.3,true,182,,29.573935686103464,0.5,0.1,0.5,true,730,,69.54655835999122,0.5,0.3,0.5,true,365,,15.343379620217332,0.3,0.1,0.5,true,365,
696216e2aea0d23a7f0be6eb,2025-10-26,70:30,696214b20098e8183c290a34,2026-01-10T16:06:32.914255,5.715037170453549,0.3,0.1,0.3,true,182,,29.61112576907623,0.5,0.1,0.5,true,730,,68.36125278572942,0.5,0.3,0.5,true,365,,15.875810262778911,0.3,0.1,0.5,true,365,
696216e2aea0d23a7f0be6ec,2025-10-27,70:30,696214b20098e8183c290a34,2026-01-10T16:06:32.914280,0,0.3,0.1,0.3,true,182,,29.543692740350085,0.5,0.1,0.5,true,730,,69.59089887354276,0.5,0.3,0.5,true,365,,17.38733340810907,0.3,0.1,0.5,true,365,
696216e2aea0d23a7f0be6ed,2025-10-28,70:30,696214b20098e8183c290a34,2026-01-10T16:06:32.914305,1.4637870870701888,0.3,0.1,0.3,true,182,,29.403447768748354,0.5,0.1,0.5,true,730,,67.83933329938385,0.5,0.3,0.5,true,365,,16.592425947408945,0.3,0.1,0.5,true,365,
696216e2aea0d23a7f0be6ee,2025-10-29,70:30,696214b20098e8183c290a34,2026-01-10T16:06:32.914329,3.502506838179856,0.3,0.1,0.3,true,182,,29.083168954567608,0.5,0.1,0.5,true,730,,68.52000738663486,0.5,0.3,0.5,true,365,,15.819496439282403,0.3,0.1,0.5,true,365,
696216e2aea0d23a7f0be6ef,2025-10-30,70:30,696214b20098e8183c290a34,2026-01-10T16:06:32.914352,1.6720238482049696,0.3,0.1,0.3,true,182,,29.457817299523512,0.5,0.1,0.5,true,730,,69.54931759917343,0.5,0.3,0.5,true,365,,17.016428694590022,0.3,0.1,0.5,true,365,
696216e2aea0d23a7f0be6f0,2025-10-31,70:30,696214b20098e8183c290a34,2026-01-10T16:06:32.914377,0,0.3,0.1,0.3,true,182,,29.35589717480414,0.5,0.1,0.5,true,730,,63.812026274123696,0.5,0.3,0.5,true,365,,15.355663645486967,0.3,0.1,0.5,true,365,
696216e2aea0d23a7f0be6f1,2025-11-01,70:30,696214b20098e8183c290a34,2026-01-10T16:06:32.914400,0.6090363458842596,0.3,0.1,0.3,true,182,,29.69238323105118,0.5,0.1,0.5,true,730,,64.69049232266481,0.5,0.3,0.5,true,365,,15.198737663668634,0.3,0.1,0.5,true,365,
696216e2aea0d23a7f0be6f2,2025-11-02,70:30,696214b20098e8183c290a34,2026-01-10T16:06:32.914424,0,0.3,0.1,0.3,true,182,,29.397104849552925,0.5,0.1,0.5,true,730,,64.29622453203257,0.5,0.3,0.5,true,365,,16.1209852741372,0.3,0.1,0.5,true,365,
696216e2aea0d23a7f0be6f3,2025-11-03,70:30,696214b20098e8183c290a34,2026-01-10T16:06:32.914447,2.766882631392334,0.3,0.1,0.3,true,182,,29.362036375824427,0.5,0.1,0.5,true,730,,64.24077641325569,0.5,0.3,0.5,true,365,,16.483446366364035,0.3,0.1,0.5,true,365,
