Date,RR_forecast_log,RR_forecast_mm,RR_forecast_lower,RR_forecast_upper
2025-07-01,0.42742859807300715,0.5333096944928544,0.0,9.886732939951623
2025-07-02,0.733067003021907,1.0814546557845075,0.0,13.778645857084854
2025-07-03,0.5762672361005496,0.779383998411781,0.0,11.633898068934856
2025-07-04,0.6224666665360412,0.8635190573644311,0.0,12.231269833422093
2025-07-05,0.48977104535536553,0.6319425363552382,0.0,10.587041176650937
2025-07-06,0.5417169974847952,0.7189557725625031,0.0,11.204848439092293
2025-07-07,0.3428125399131373,0.4089046237863887,0.0,9.003437943499486
2025-07-08,0.7894332464994653,1.2021479974274123,0.0,14.635587010470859
2025-07-09,0.5338452197567967,0.7054776527756474,0.0,11.109151730737032
2025-07-10,0.27712113036564945,0.31932617181800294,0.0,8.367417257491464
2025-07-11,0.28094705943799414,0.3243834884731067,0.0,8.403324977904783
2025-07-12,0.12948339493874964,0.1382402107574443,0.0,7.081679285363897
2025-07-13,0.25949687121392057,0.2962777279296287,0.0,8.203769786797563
2025-07-14,0.43810702303185023,0.5497707597097201,0.0,10.003609016302537
2025-07-15,0.6516841517063632,0.918769608483748,0.0,12.623557182143312
2025-07-16,0.5001421224419669,0.6489556076451177,0.0,10.707836580401732
2025-07-17,0.7939405456246843,1.2120961399548866,0.0,14.706220341319918
2025-07-18,0.6280148406263771,0.8738869202740449,0.0,12.304883243068167
2025-07-19,0.6175558388019204,0.8543900700828151,0.0,12.166452629889022
2025-07-20,0.5687986810740993,0.7661440742004835,0.0,11.539892585534272
2025-07-21,0.4347726433595932,0.5446118412680518,0.0,9.966979907691828
2025-07-22,0.6742325256588745,0.9625262093319915,0.0,12.934235729018642
2025-07-23,0.6546664396203962,0.9245004731936788,0.0,12.664247196584688
2025-07-24,0.6350161170574703,0.8870525549481267,0.0,12.398361259411823
2025-07-25,0.7718348719219551,1.1637327861685582,0.0,14.362833145215157
2025-07-26,0.33682704132458297,0.40049681471560516,0.0,8.943741215374384
2025-07-27,0.7087768285337263,1.0315048595327507,0.0,13.423994677254068
2025-07-28,1.0626517837269056,1.894035178281778,0.0,19.548091633373442
2025-07-29,1.327752735338158,2.7725559227408425,0.0,25.78572305348698
2025-07-30,0.13556103331737088,0.14517908778025634,0.0,7.130946371668665
