Date,Year,Month,Day,SWRad,StDev,Max
2007-04-05,2007,4,5,807.3,2,5
2007-04-06,2007,4,6,963.65,2,5
2007-04-07,2007,4,7,866.88,2,5
2007-04-08,2007,4,8,1314.88,2,5
2007-04-09,2007,4,9,1211.39,2,5
2007-04-10,2007,4,10,1169.28,2,5
2007-04-11,2007,4,11,1089.98,2,5
2007-04-12,2007,4,12,1092.67,2,5
2007-04-13,2007,4,13,1184.51,2,5
2007-04-14,2007,4,14,1331.46,2,5
2007-04-15,2007,4,15,1148.22,2,5
2007-04-16,2007,4,16,1097.6,2,5
2007-04-17,2007,4,17,1080.58,2,5
2007-04-18,2007,4,18,1147.78,2,5
2007-04-19,2007,4,19,1040.26,2,5
2007-04-20,2007,4,20,1187.2,2,5
2007-04-21,2007,4,21,1070.27,2,5
2007-04-22,2007,4,22,865.09,2,5
2007-04-23,2007,4,23,1152.26,2,5
2007-04-24,2007,4,24,1197.5,2,5
2007-04-25,2007,4,25,991.87,2,5
2007-04-26,2007,4,26,1170.62,2,5
2007-04-27,2007,4,27,1180.03,2,5
2007-04-28,2007,4,28,1042.94,2,5
2007-04-29,2007,4,29,1245.44,2,5
2007-04-30,2007,4,30,1031.74,2,5
2007-05-01,2007,5,1,1226.62,2,5
2007-05-02,2007,5,2,1308.16,2,5
2007-05-03,2007,5,3,313.6,2,5
2007-05-04,2007,5,4,966.78,2,5
2007-05-05,2007,5,5,582.85,2,5
2007-05-06,2007,5,6,773.25,2,5
2007-05-07,2007,5,7,478.02,2,5
2007-05-08,2007,5,8,1246.78,2,5
2007-05-09,2007,5,9,1062.21,2,5
2007-05-10,2007,5,10,897.79,2,5
2007-05-11,2007,5,11,1027.71,2,5
2007-05-12,2007,5,12,1089.54,2,5
2007-05-13,2007,5,13,1137.92,2,5
2007-05-14,2007,5,14,1056.38,2,5
2007-05-15,2007,5,15,956.03,2,5
2007-05-16,2007,5,16,1021.44,2,5
2007-05-17,2007,5,17,1034.88,2,5
2007-05-18,2007,5,18,899.58,2,5
2007-05-19,2007,5,19,1022.34,2,5
2007-05-20,2007,5,20,1113.28,2,5
2007-05-21,2007,5,21,1169.28,2,5
2007-05-22,2007,5,22,1060.86,2,5
2007-05-23,2007,5,23,996.8,2,5
2007-05-24,2007,5,24,977.09,2,5
2007-05-25,2007,5,25,1054.59,2,5
2007-05-26,2007,5,26,1115.97,2,5
2007-05-27,2007,5,27,1261.12,2,5
2007-05-28,2007,5,28,1172.86,2,5
2007-05-29,2007,5,29,1214.98,2,5
2007-05-30,2007,5,30,1081.92,2,5
2007-05-31,2007,5,31,836.86,2,5
2007-06-01,2007,6,1,1138.82,2,5
2007-06-02,2007,6,2,999.04,2,5
2007-06-03,2007,6,3,528.19,2,5
2007-06-04,2007,6,4,1111.04,2,5
2007-06-05,2007,6,5,1051.01,2,5
2007-06-06,2007,6,6,301.5,2,5
2007-06-07,2007,6,7,1055.49,2,5
2007-06-08,2007,6,8,1229.31,2,5
2007-06-09,2007,6,9,957.82,2,5
2007-06-10,2007,6,10,1072.51,2,5
2007-06-11,2007,6,11,878.53,2,5
2007-06-12,2007,6,12,316.74,2,5
2007-06-13,2007,6,13,1163.01,2,5
2007-06-14,2007,6,14,710.98,2,5
2007-06-15,2007,6,15,944.83,2,5
2007-06-16,2007,6,16,1071.17,2,5
2007-06-17,2007,6,17,1015.62,2,5
2007-06-18,2007,6,18,1147.78,2,5
2007-06-19,2007,6,19,962.3,2,5
2007-06-20,2007,6,20,843.58,2,5
2007-06-21,2007,6,21,997.7,2,5
2007-06-22,2007,6,22,827.9,2,5
2007-06-23,2007,6,23,1064.9,2,5
2007-06-24,2007,6,24,1034.43,2,5
2007-06-25,2007,6,25,1142.4,2,5
2007-06-26,2007,6,26,633.92,2,5
2007-06-27,2007,6,27,723.97,2,5
2007-06-28,2007,6,28,868.22,2,5
2007-06-29,2007,6,29,1082.82,2,5
2007-06-30,2007,6,30,1017.86,2,5
2007-07-01,2007,7,1,929.15,2,5
2007-07-02,2007,7,2,1028.16,2,5
2007-07-03,2007,7,3,1000.83,2,5
2007-07-04,2007,7,4,935.87,2,5
2007-07-05,2007,7,5,1173.31,2,5
2007-07-06,2007,7,6,986.05,2,5
2007-07-07,2007,7,7,1038.02,2,5
2007-07-08,2007,7,8,882.11,2,5
2007-07-09,2007,7,9,1041.6,2,5
2007-07-10,2007,7,10,554.18,2,5
2007-07-11,2007,7,11,1081.02,2,5
2007-07-12,2007,7,12,1097.15,2,5
2007-07-13,2007,7,13,1076.1,2,5
2007-07-14,2007,7,14,1068.48,2,5
2007-07-15,2007,7,15,605.7,2,5
2007-07-16,2007,7,16,1240.51,2,5
2007-07-17,2007,7,17,1156.74,2,5
2007-07-18,2007,7,18,1070.27,2,5
2007-07-19,2007,7,19,1147.33,2,5
2007-07-20,2007,7,20,468.61,2,5
