system:index,NDVI,date,.geo
1_1_1_1_1_1_1_1_1_2_20160109T040132_20160109T040826_T46NGL,0.47925112348457455,2016-01-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_2_20160109T040132_20160109T040826_T46NGM,0.40269868371859896,2016-01-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_2_20160109T041735_20160109T112007_T46NGL,0.47925112348457455,2016-01-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_2_20160109T041735_20160109T112007_T46NGM,0.4026986837185989,2016-01-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_2_20160218T035822_20160218T041457_T46NGL,0.6839566630572163,2016-02-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_2_20160218T035822_20160218T041457_T46NGM,0.611299397748412,2016-02-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_2_20160218T041457_20160409T032352_T46NGL,0.6839566630572163,2016-02-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_2_20160218T041457_20160409T032352_T46NGM,0.611299397748412,2016-02-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_2_20160319T035552_20160319T040941_T46NGL,0.4529509201782601,2016-03-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_2_20160319T035552_20160319T040941_T46NGM,0.3829156132274801,2016-03-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_2_20160319T040941_20160319T111731_T46NGL,0.4529509201782601,2016-03-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_2_20160319T040941_20160319T111731_T46NGM,0.38291561322747997,2016-03-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_2_20160727T035542_20160727T041018_T46NGL,0.6964308788195096,2016-07-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_2_20160727T035542_20160727T041018_T46NGM,0.5831494035250637,2016-07-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_2_20160727T041018_20160727T093208_T46NGL,0.6964308788195097,2016-07-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_2_20160727T041018_20160727T093208_T46NGM,0.5831494035250636,2016-07-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_2_20161012T034702_20161012T040251_T46NGM,0.40720902790649444,2016-10-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_2_20161012T034702_20161012T040251_T46NHM,0.4368353512890305,2016-10-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_2_20161012T034702_20161012T091659_T46NGM,0.40720902790649444,2016-10-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_2_20161012T034702_20161012T091659_T46NHM,0.4368353512890305,2016-10-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_2_20161101T034912_20161101T040626_T46NGM,0.45670821884516016,2016-11-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_2_20161101T034912_20161101T104624_T46NGM,0.45670821884516016,2016-11-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_2_20170209T034911_20170209T035553_T46NGL,0.24270661664030438,2017-02-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_2_20170209T034911_20170209T035553_T46NGM,0.48414021266563,2017-02-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_2_20170209T034911_20170209T035553_T46NHM,0.34438945058504006,2017-02-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_2_20170209T034911_20170209T040642_T46NGL,0.47553665174486726,2017-02-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_2_20170209T034911_20170209T040642_T46NHL,0.364364733094617,2017-02-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_2_20170212T035851_20170212T041300_T46NGL,0.21377455656772829,2017-02-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_2_20170314T035531_20170314T041026_T46NGL,0.6814688386035929,2017-03-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_2_20170314T035531_20170314T041026_T46NGM,0.5723637950860566,2017-03-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_2_20170403T035531_20170403T041216_T46NGL,0.5913507479281053,2017-04-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_2_20170423T035541_20170423T041029_T46NGL,0.3208950649247796,2017-04-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_2_20170619T034531_20170619T040640_T46NGL,0.6411468247159092,2017-06-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_2_20170619T034531_20170619T040640_T46NGM,,2017-06-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_2_20170619T034531_20170619T040640_T46NHL,0.6313039338704645,2017-06-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_2_20170702T035541_20170702T041623_T46NGM,0.486106498477366,2017-07-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_2_20170709T034531_20170709T035631_T46NGM,0.5251767024944792,2017-07-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
