Date,Year,Month,Day,SWRad,StDev,Max,Q,S,data_quality,source_priority
2007-02-16,2007,2,16,292.2,392.67,1113.28,2,5,high,5
2007-02-17,2007,2,17,284.03,374.71,1176.9,2,5,high,5
2007-02-18,2007,2,18,232.62,328.45,1179.58,2,5,high,5
2007-02-19,2007,2,19,147.51,199.9,928.26,2,5,high,5
2007-02-20,2007,2,20,297.72,388.69,1061.76,2,5,high,5
2007-02-21,2007,2,21,270.56,368.23,1186.75,2,5,high,5
2007-02-22,2007,2,22,234.42,314.6,1290.69,2,5,high,5
2007-02-23,2007,2,23,294.13,392.72,1097.15,2,5,high,5
2007-02-24,2007,2,24,308.9,401.13,1245.89,2,5,high,5
2007-02-25,2007,2,25,301.25,389.81,1107.01,2,5,high,5
2007-02-26,2007,2,26,292.93,386.08,1100.74,2,5,high,5
2007-02-27,2007,2,27,269.01,366.23,1107.9,2,5,high,5
2007-02-28,2007,2,28,216.72,306.25,1301.44,2,5,high,5
2007-03-01,2007,3,1,297.59,379.98,1098.94,2,5,high,5
2007-03-02,2007,3,2,297.17,386.44,1112.83,2,5,high,5
2007-03-03,2007,3,3,253.28,360.9,1209.6,2,5,high,5
2007-03-04,2007,3,4,226.41,301.64,1109.7,2,5,high,5
2007-03-05,2007,3,5,274.97,364.17,1158.08,2,5,high,5
2007-03-06,2007,3,6,270.2,371.8,1145.09,2,5,high,5
2007-03-07,2007,3,7,279.17,374.06,1251.26,2,5,high,5
2007-03-08,2007,3,8,196.33,286.17,1065.79,2,5,high,5
2007-03-09,2007,3,9,290.48,385.8,1135.68,2,5,high,5
2007-03-10,2007,3,10,264.31,381.62,1154.94,2,5,high,5
2007-03-11,2007,3,11,222.09,331.26,1174.21,2,5,high,5
2007-03-12,2007,3,12,237.08,332.95,1020.1,2,5,high,5
2007-03-13,2007,3,13,205.28,292.82,1134.78,2,5,high,5
2007-03-14,2007,3,14,256.62,352.86,1218.56,2,5,high,5
2007-03-15,2007,3,15,271.05,368.92,1101.18,2,5,high,5
2007-03-16,2007,3,16,286.08,401.83,1130.75,2,5,high,5
2007-03-17,2007,3,17,235.4,347.19,1200.19,2,5,high,5
2007-03-18,2007,3,18,279.73,369.32,1152.7,2,5,high,5
2007-03-19,2007,3,19,274.59,354.17,1081.92,2,5,high,5
2007-03-20,2007,3,20,313.7,405.65,1168.83,2,5,high,5
2007-03-21,2007,3,21,299.24,395.15,1238.27,2,5,high,5
2007-03-22,2007,3,22,236.36,311.38,1105.66,2,5,high,5
2007-03-23,2007,3,23,306.3,400.76,1079.68,2,5,high,5
2007-03-24,2007,3,24,329.17,416.54,1091.78,2,5,high,5
2007-03-25,2007,3,25,316.73,403.5,1097.15,2,5,high,5
2007-03-26,2007,3,26,310.44,406.02,1179.58,2,5,high,5
2007-03-27,2007,3,27,312.07,399.04,1051.01,2,5,high,5
2007-03-28,2007,3,28,313.13,399.37,1055.49,2,5,high,5
2007-03-29,2007,3,29,317.73,403.38,1068.03,2,5,high,5
2007-03-30,2007,3,30,299.77,392.98,1160.32,2,5,high,5
2007-03-31,2007,3,31,302.86,386.57,1151.81,2,5,high,5
2007-04-01,2007,4,1,240.13,340.98,1309.5,2,5,high,5
2007-04-02,2007,4,2,292.04,392.72,1271.87,2,5,high,5
2007-04-03,2007,4,3,125.37,196.51,1046.53,2,5,high,5
2007-04-04,2007,4,4,268.09,376.72,1215.42,2,5,high,5
2007-04-05,2007,4,5,121.58,200.82,807.3,2,5,high,5
2007-04-06,2007,4,6,162.01,246.99,963.65,2,5,high,5
2007-04-07,2007,4,7,106.41,154.89,866.88,2,5,high,5
2007-04-08,2007,4,8,302.67,385.5,1314.88,2,5,high,5
2007-04-09,2007,4,9,278.55,352.45,1211.39,2,5,high,5
2007-04-10,2007,4,10,296.9,384.71,1169.28,2,5,high,5
2007-04-11,2007,4,11,193.19,251.74,1089.98,2,5,high,5
2007-04-12,2007,4,12,299.68,375.72,1092.67,2,5,high,5
2007-04-13,2007,4,13,208.95,271.5,1184.51,2,5,high,5
2007-04-14,2007,4,14,280.58,378.05,1331.46,2,5,high,5
2007-04-15,2007,4,15,259.8,346.62,1148.22,2,5,high,5
2007-04-16,2007,4,16,298.55,384.13,1097.6,2,5,high,5
2007-04-17,2007,4,17,308.92,396.35,1080.58,2,5,high,5
2007-04-18,2007,4,18,291.07,378.41,1147.78,2,5,high,5
2007-04-19,2007,4,19,294.62,382.01,1040.26,2,5,high,5
2007-04-20,2007,4,20,278.0,383.55,1187.2,2,5,high,5
2007-04-21,2007,4,21,256.25,383.51,1070.27,2,5,high,5
2007-04-22,2007,4,22,120.81,201.33,865.09,2,5,high,5
2007-04-23,2007,4,23,204.89,322.35,1152.26,2,5,high,5
2007-04-24,2007,4,24,149.73,277.69,1197.5,2,5,high,5
2007-04-25,2007,4,25,165.99,245.55,991.87,2,5,high,5
2007-04-26,2007,4,26,246.71,375.0,1170.62,2,5,high,5
2007-04-27,2007,4,27,224.7,352.54,1180.03,2,5,high,5
2007-04-28,2007,4,28,92.97,189.24,1042.94,2,5,high,5
2007-04-29,2007,4,29,250.72,365.7,1245.44,2,5,high,5
2007-04-30,2007,4,30,145.51,217.58,1031.74,2,5,high,5
2007-05-01,2007,5,1,292.84,383.91,1226.62,2,5,high,5
2007-05-02,2007,5,2,185.58,258.78,1308.16,2,5,high,5
2007-05-03,2007,5,3,72.23,90.63,313.6,2,5,high,5
2007-05-04,2007,5,4,162.34,225.93,966.78,2,5,high,5
2007-05-05,2007,5,5,131.81,170.18,582.85,2,5,high,5
2007-05-06,2007,5,6,165.09,211.15,773.25,2,5,high,5
2007-05-07,2007,5,7,92.51,118.75,478.02,2,5,high,5
2007-05-08,2007,5,8,210.83,308.05,1246.78,2,5,high,5
2007-05-09,2007,5,9,210.37,291.86,1062.21,2,5,high,5
2007-05-10,2007,5,10,112.66,180.24,897.79,2,5,high,5
2007-05-11,2007,5,11,288.73,371.65,1027.71,2,5,high,5
2007-05-12,2007,5,12,163.98,280.46,1089.54,2,5,high,5
2007-05-13,2007,5,13,265.91,347.23,1137.92,2,5,high,5
2007-05-14,2007,5,14,242.61,340.43,1056.38,2,5,high,5
2007-05-15,2007,5,15,199.34,263.59,956.03,2,5,high,5
2007-05-16,2007,5,16,285.93,370.8,1021.44,2,5,high,5
2007-05-17,2007,5,17,248.67,357.56,1034.88,2,5,high,5
2007-05-18,2007,5,18,213.45,268.24,899.58,2,5,high,5
2007-05-19,2007,5,19,288.79,367.69,1022.34,2,5,high,5
2007-05-20,2007,5,20,294.89,376.7,1113.28,2,5,high,5
2007-05-21,2007,5,21,245.65,343.76,1169.28,2,5,high,5
2007-05-22,2007,5,22,284.55,368.68,1060.86,2,5,high,5
2007-05-23,2007,5,23,283.37,366.96,996.8,2,5,high,5
2007-05-24,2007,5,24,288.81,368.16,977.09,2,5,high,5
2007-05-25,2007,5,25,259.11,344.25,1054.59,2,5,high,5
2007-05-26,2007,5,26,215.36,303.03,1115.97,2,5,high,5
2007-05-27,2007,5,27,225.51,337.42,1261.12,2,5,high,5
2007-05-28,2007,5,28,281.47,355.94,1172.86,2,5,high,5
2007-05-29,2007,5,29,257.98,345.42,1214.98,2,5,high,5
2007-05-30,2007,5,30,243.42,349.51,1081.92,2,5,high,5
2007-05-31,2007,5,31,194.44,261.11,836.86,2,5,high,5
2007-06-01,2007,6,1,197.47,290.92,1138.82,2,5,high,5
2007-06-02,2007,6,2,279.91,372.4,999.04,2,5,high,5
2007-06-03,2007,6,3,123.76,169.66,528.19,2,5,high,5
2007-06-04,2007,6,4,240.51,320.44,1111.04,2,5,high,5
2007-06-05,2007,6,5,261.77,347.55,1051.01,2,5,high,5
2007-06-06,2007,6,6,77.99,100.64,301.5,2,5,high,5
2007-06-07,2007,6,7,263.71,361.59,1055.49,2,5,high,5
2007-06-08,2007,6,8,202.52,303.63,1229.31,2,5,high,5
2007-06-09,2007,6,9,278.54,357.12,957.82,2,5,high,5
2007-06-10,2007,6,10,277.45,359.58,1072.51,2,5,high,5
2007-06-11,2007,6,11,134.64,215.03,878.53,2,5,high,5
2007-06-12,2007,6,12,53.17,74.14,316.74,2,5,high,5
2007-06-13,2007,6,13,173.19,271.4,1163.01,2,5,high,5
2007-06-14,2007,6,14,61.53,109.24,710.98,2,5,high,5
