,count,mean,std,min,max,missing_pct
SST,2330,29.2865965665236,0.5624828839617313,27.9,31.1,10.453497309761723
Prec,1833,0.16582105837424985,0.33937473757470676,-0.05,2.01,29.55418908531899
RH,1833,80.5888161483906,3.6043460492450663,69.2,91.7,29.55418908531899
WSPD,813,4.8757687576875774,2.2213897051897957,0.3,11.0,68.75480399692545
SWRad,1823,216.76540866703237,70.2196330328345,10.35,329.17,29.938508839354345
year,2602,2011.771329746349,3.165980086990101,2006.0,2018.0,0.0
month,2602,6.36510376633359,3.4304845586008073,1.0,12.0,0.0
day,2602,15.687548039969254,8.765801935163203,1.0,31.0,0.0
