,Total_Records,Available_Records,Coverage_Pct
SST,2602,2330,89.54650269023828
Prec,2602,1833,70.44581091468102
RH,2602,1833,70.44581091468102
WSPD,2602,813,31.24519600307456
SWRad,2602,1823,70.06149116064566
