system:index,LSWI,date,day,month,year,.geo
1_1_1_LT05_132056_20060508,0.370158895246367,2006-05-08,08,05,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_LE07_131056_20120322,0.29184775495727705,2012-03-22,22,03,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_LE07_131056_20130309,0.25907158088826204,2013-03-09,09,03,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_LE07_131057_20120322,0.2959418832421011,2012-03-22,22,03,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_LE07_131057_20120423,0.33486815654945884,2012-04-23,23,04,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_LE07_131057_20130309,0.24837590361584747,2013-03-09,09,03,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_LC08_131056_20140216,0.3072410883674383,2014-02-16,16,02,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_LC08_131056_20140320,0.2806610482032855,2014-03-20,20,03,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_LC08_131056_20141115,0.3530554225202406,2014-11-15,15,11,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_LC08_131056_20150118,0.37128908277869477,2015-01-18,18,01,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_LC08_131057_20140115,0.33130425554147197,2014-01-15,15,01,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_LC08_131057_20140216,0.37183145240493265,2014-02-16,16,02,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_LC08_131057_20140523,0.33865295807903006,2014-05-23,23,05,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_LC08_131057_20141030,0.31041453022622545,2014-10-30,30,10,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_LC08_131057_20150102,0.3083617438518117,2015-01-02,02,01,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_LC08_131057_20150118,0.42136299727848,2015-01-18,18,01,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_LC08_131057_20150627,0.4221356057058034,2015-06-27,27,06,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_LO08_131056_20140304,0.2644339398644674,2014-03-04,04,03,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_20160109T040132_20160109T040826_T46NGL,0.28894717849572316,2016-01-09,09,01,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_20160109T040132_20160109T040826_T46NGM,0.24854697185993924,2016-01-09,09,01,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_20160109T041735_20160109T112007_T46NGL,0.28894717849572316,2016-01-09,09,01,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_20160109T041735_20160109T112007_T46NGM,0.24854697185993932,2016-01-09,09,01,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_20160218T035822_20160218T041457_T46NGL,0.3381723430921406,2016-02-18,18,02,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_20160218T035822_20160218T041457_T46NGM,0.2820098615338648,2016-02-18,18,02,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_20160218T041457_20160409T032352_T46NGL,0.3381723430921406,2016-02-18,18,02,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_20160218T041457_20160409T032352_T46NGM,0.28200986153386487,2016-02-18,18,02,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_20160319T035552_20160319T040941_T46NGL,0.2539591100107927,2016-03-19,19,03,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_20160319T035552_20160319T040941_T46NGM,0.1974085358730589,2016-03-19,19,03,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_20160319T040941_20160319T111731_T46NGL,0.2539591100107927,2016-03-19,19,03,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_20160319T040941_20160319T111731_T46NGM,0.19740853587305884,2016-03-19,19,03,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_20160727T035542_20160727T041018_T46NGL,0.3395036719585668,2016-07-27,27,07,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_20160727T035542_20160727T041018_T46NGM,0.2301468663930032,2016-07-27,27,07,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_20160727T041018_20160727T093208_T46NGL,0.3395036719585668,2016-07-27,27,07,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_20160727T041018_20160727T093208_T46NGM,0.2301468663930032,2016-07-27,27,07,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_20161012T034702_20161012T040251_T46NGM,0.07933603596192829,2016-10-12,12,10,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_20161012T034702_20161012T040251_T46NHM,0.13754675090115318,2016-10-12,12,10,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_20161012T034702_20161012T091659_T46NGM,0.07933603596192827,2016-10-12,12,10,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_20161012T034702_20161012T091659_T46NHM,0.13754675090115318,2016-10-12,12,10,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_20161101T034912_20161101T040626_T46NGM,0.14117177846468662,2016-11-01,01,11,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_20161101T034912_20161101T104624_T46NGM,0.1411717784646866,2016-11-01,01,11,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_20170209T034911_20170209T035553_T46NGL,0.18152724822484653,2017-02-09,09,02,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_20170209T034911_20170209T035553_T46NGM,0.203809014736972,2017-02-09,09,02,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_20170209T034911_20170209T035553_T46NHM,0.19755672130347068,2017-02-09,09,02,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_20170209T034911_20170209T040642_T46NGL,0.2286308646511658,2017-02-09,09,02,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_20170209T034911_20170209T040642_T46NHL,0.21865727505154087,2017-02-09,09,02,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_20170212T035851_20170212T041300_T46NGL,0.19836409083013795,2017-02-12,12,02,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_20170314T035531_20170314T041026_T46NGL,0.3176822366477458,2017-03-14,14,03,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_20170314T035531_20170314T041026_T46NGM,0.24096234286803833,2017-03-14,14,03,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_20170403T035531_20170403T041216_T46NGL,0.2775995187309634,2017-04-03,03,04,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_20170423T035541_20170423T041029_T46NGL,0.30460078649232514,2017-04-23,23,04,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_20170619T034531_20170619T040640_T46NGL,0.2773305235253446,2017-06-19,19,06,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_20170619T034531_20170619T040640_T46NGM,,2017-06-19,19,06,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_20170619T034531_20170619T040640_T46NHL,0.30372132125880463,2017-06-19,19,06,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_20170702T035541_20170702T041623_T46NGM,0.2700819023059619,2017-07-02,02,07,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_20170709T034531_20170709T035631_T46NGM,0.19392987553453234,2017-07-09,09,07,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_20170709T034531_20170709T035631_T46NHL,0.21826474042739152,2017-07-09,09,07,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_20170709T034531_20170709T035631_T46NHM,0.24481716918324278,2017-07-09,09,07,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_20170724T034539_20170724T035631_T46NGL,0.2818232073315528,2017-07-24,24,07,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_20170724T034539_20170724T035631_T46NGM,0.19906773976940825,2017-07-24,24,07,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
