SST,Q,S,Timestamp
29.31,1,5,2006-11-16 12:00:00
29.52,1,5,2006-11-17 12:00:00
29.34,1,5,2006-11-18 12:00:00
29.36,1,5,2006-11-19 12:00:00
29.05,1,5,2006-11-20 12:00:00
29.01,1,5,2006-11-21 12:00:00
29.07,1,5,2006-11-22 12:00:00
28.99,1,5,2006-11-23 12:00:00
29.28,1,5,2006-11-24 12:00:00
29.38,1,5,2006-11-25 12:00:00
29.18,1,5,2006-11-26 12:00:00
29.11,1,5,2006-11-27 12:00:00
29.26,1,5,2006-11-28 12:00:00
29.36,1,5,2006-11-29 12:00:00
29.18,1,5,2006-11-30 12:00:00
29.36,1,5,2006-12-01 12:00:00
29.21,1,5,2006-12-02 12:00:00
29.2,1,5,2006-12-03 12:00:00
29.07,1,5,2006-12-04 12:00:00
29.04,1,5,2006-12-05 12:00:00
29.09,1,5,2006-12-06 12:00:00
29.02,1,5,2006-12-07 12:00:00
29.44,1,5,2006-12-08 12:00:00
29.11,1,5,2006-12-09 12:00:00
29.23,1,5,2006-12-10 12:00:00
29.13,1,5,2006-12-11 12:00:00
29.4,1,5,2006-12-12 12:00:00
29.3,1,5,2006-12-13 12:00:00
29.47,1,5,2006-12-14 12:00:00
29.48,1,5,2006-12-15 12:00:00
29.08,1,5,2006-12-16 12:00:00
29.17,1,5,2006-12-17 12:00:00
29.57,1,5,2006-12-18 12:00:00
29.45,1,5,2006-12-19 12:00:00
29.06,1,5,2006-12-20 12:00:00
29.08,1,5,2006-12-21 12:00:00
28.59,1,5,2006-12-22 12:00:00
28.51,1,5,2006-12-23 12:00:00
28.92,1,5,2006-12-24 12:00:00
29.01,1,5,2006-12-25 12:00:00
29.05,1,5,2006-12-26 12:00:00
28.97,1,5,2006-12-27 12:00:00
29.11,1,5,2006-12-28 12:00:00
29.08,1,5,2006-12-29 12:00:00
29.05,1,5,2006-12-30 12:00:00
29.07,1,5,2006-12-31 12:00:00
29.07,1,5,2007-01-01 12:00:00
28.95,1,5,2007-01-02 12:00:00
28.82,1,5,2007-01-03 12:00:00
28.72,1,5,2007-01-04 12:00:00
28.62,1,5,2007-01-05 12:00:00
28.65,1,5,2007-01-06 12:00:00
28.88,1,5,2007-01-07 12:00:00
29.05,1,5,2007-01-08 12:00:00
28.9,1,5,2007-01-09 12:00:00
29.01,1,5,2007-01-10 12:00:00
29.13,1,5,2007-01-11 12:00:00
29.2,1,5,2007-01-12 12:00:00
29.04,1,5,2007-01-13 12:00:00
28.86,1,5,2007-01-14 12:00:00
28.88,1,5,2007-01-15 12:00:00
28.98,1,5,2007-01-16 12:00:00
29.06,1,5,2007-01-17 12:00:00
29.22,1,5,2007-01-18 12:00:00
29.01,1,5,2007-01-19 12:00:00
28.97,1,5,2007-01-20 12:00:00
28.89,1,5,2007-01-21 12:00:00
28.77,1,5,2007-01-22 12:00:00
28.64,1,5,2007-01-23 12:00:00
28.72,1,5,2007-01-24 12:00:00
28.9,1,5,2007-01-25 12:00:00
29.1,1,5,2007-01-26 12:00:00
28.96,1,5,2007-01-27 12:00:00
28.88,1,5,2007-01-28 12:00:00
28.82,1,5,2007-01-29 12:00:00
28.75,1,5,2007-01-30 12:00:00
28.79,1,5,2007-01-31 12:00:00
28.77,1,5,2007-02-01 12:00:00
28.63,1,5,2007-02-02 12:00:00
28.65,1,5,2007-02-03 12:00:00
28.63,1,5,2007-02-04 12:00:00
28.63,1,5,2007-02-05 12:00:00
28.66,1,5,2007-02-06 12:00:00
28.73,1,5,2007-02-07 12:00:00
29.03,1,5,2007-02-08 12:00:00
28.91,1,5,2007-02-09 12:00:00
28.87,1,5,2007-02-10 12:00:00
28.94,1,5,2007-02-11 12:00:00
28.96,1,5,2007-02-12 12:00:00
29.23,1,5,2007-02-13 12:00:00
29.36,1,5,2007-02-14 12:00:00
29.39,1,5,2007-02-15 12:00:00
29.34,1,5,2007-02-16 12:00:00
29.29,1,5,2007-02-17 12:00:00
29.35,1,5,2007-02-18 12:00:00
29.26,1,5,2007-02-19 12:00:00
29.19,1,5,2007-02-20 12:00:00
28.94,1,5,2007-02-21 12:00:00
28.79,1,5,2007-02-22 12:00:00
28.89,1,5,2007-02-23 12:00:00
29.3,1,5,2007-02-24 12:00:00
29.37,1,5,2007-02-25 12:00:00
29.45,1,5,2007-02-26 12:00:00
29.18,1,5,2007-02-27 12:00:00
28.85,1,5,2007-02-28 12:00:00
28.82,1,5,2007-03-01 12:00:00
29.45,1,5,2007-03-02 12:00:00
29.15,1,5,2007-03-03 12:00:00
28.91,1,5,2007-03-04 12:00:00
28.95,1,5,2007-03-05 12:00:00
28.87,1,5,2007-03-06 12:00:00
28.91,1,5,2007-03-07 12:00:00
28.97,1,5,2007-03-08 12:00:00
29.24,1,5,2007-03-09 12:00:00
29.72,1,5,2007-03-10 12:00:00
29.66,1,5,2007-03-11 12:00:00
29.84,1,5,2007-03-12 12:00:00
29.59,1,5,2007-03-13 12:00:00
30.04,1,5,2007-03-14 12:00:00
30.01,1,5,2007-03-15 12:00:00
30.04,1,5,2007-03-16 12:00:00
29.85,1,5,2007-03-17 12:00:00
29.86,1,5,2007-03-18 12:00:00
29.83,1,5,2007-03-19 12:00:00
29.85,1,5,2007-03-20 12:00:00
29.9,1,5,2007-03-21 12:00:00
29.86,1,5,2007-03-22 12:00:00
30.05,1,5,2007-03-23 12:00:00
29.92,1,5,2007-03-24 12:00:00
30.0,1,5,2007-03-25 12:00:00
30.31,1,5,2007-03-26 12:00:00
30.43,1,5,2007-03-27 12:00:00
30.44,1,5,2007-03-28 12:00:00
30.3,1,5,2007-03-29 12:00:00
30.54,1,5,2007-03-30 12:00:00
30.61,1,5,2007-03-31 12:00:00
