id_periode,id_petani,bulan_tanam,luas_tanam_m2,bulan_panen,luas_panen_m2,produksi_dalam_gunca,gunca_kg,pengeluaran_rp,harga_jual_perkg,hasil_panen_dijual,status_pengelolaan,jml_tanam_padi_1th,jenis_lahan,air_multi_tanam,pemupukan,jenis_pupuk,pengendalian_hama,jenis_hama,penyakit_padi,pestisida,pengendalian_gulma,cara_pengendalian_gulma
PRD078,PTN044,nov - jan,3744,Januari,3744,10,1890,4.200.000,6500,Ya sebagian,Bagi hasil,2,Kombinasi irigasi dan tadah hujan,Tidak Mencukupi,Ada pemupukan,"Pupuk urea, NPK, Pupuk SP-36",Ada,"Tikus, Siput Murbai/Keong, Wereng",TIDAK ADA,Ada,Ada,Herbisida/Mencabut rumput
PRD079,PTN044,mei - juli,3744,Juli,3744,8,1500,3.800.000,6500,Ya sebagian,Bagi hasil,2,Kombinasi irigasi dan tadah hujan,Tidak Mencukupi,Ada pemupukan,"Pupuk urea, NPK, Pupuk SP-36",Ada,"Tikus, Siput Murbai/Keong, Wereng",TIDAK ADA,Ada,Ada,Herbisida/Mencabut rumput
PRD080,PTN045,nov - jan,1560,Januari,1560,4,850,3.000.000,6500,Ya sebagian,Bagi hasil,2,Kombinasi irigasi dan tadah hujan,Tidak Mencukupi,Ada pemupukan,"Pupuk urea, NPK, Pupuk SP-36",Ada,"Tikus, Wereng, Siput Murbai/Keong",TIDAK ADA,Ada,Ada,Herbisida/Mencabut rumput
PRD081,PTN045,mei - juli,1560,Juli,1560,4,720,2.700.000,6500,Ya sebagian,Bagi hasil,2,Kombinasi irigasi dan tadah hujan,Tidak Mencukupi,Ada pemupukan,"Pupuk urea, NPK, Pupuk SP-36",Ada,"Tikus, Wereng, Siput Murbai/Keong",TIDAK ADA,Ada,Ada,Herbisida/Mencabut rumput
PRD082,PTN046,nov - jan,3400,Februari,3400,6,1080,2.000.000,6500,Tidak,Milik sendiri,1,"Sawah irigasi, Sawah tadah hujan",Tidak Mencukupi,Ada pemupukan,Pupuk urea,Ada,"Tikus, Siput Murbai/Keong, Wereng","Bercak daun, Busuk batang",Ada,Ada,Mencabut rumput
PRD083,PTN047,nov - jan,3400,Februari,3400,6,1080,2.500.000,6500,Tidak,Milik sendiri,1,"Sawah irigasi, Sawah tadah hujan",Tidak Mencukupi,Ada pemupukan,Pupuk urea,Ada,"Tikus, Siput Murbai/Keong, Wereng","Bercak daun, Busuk batang",Ada,Ada,Mencabut rumput
PRD084,PTN048,nov - jan,1000,Februari,1000,4,720,2.000.000,6500,Tidak,Milik sendiri,1,"Sawah irigasi, Sawah tadah hujan",Tidak Mencukupi,Ada pemupukan,Pupuk urea,Ada,"Tikus, Siput Murbai/Keong, Wereng","Bercak daun, Busuk batang",Ada,Ada,Mencabut rumput
PRD085,PTN049,nov - jan,1000,Februari,1000,4,720,1.500.000,6000,Tidak,Milik sendiri,1,"Sawah irigasi, Sawah tadah hujan",Tidak Mencukupi,Ada pemupukan,Pupuk urea,Ada,"Tikus, Siput Murbai/Keong, Wereng","Bercak daun, Busuk batang",Ada,Ada,Mencabut rumput
PRD086,PTN050,nov - jan,3400,Februari,3400,5,900,1.000.000,6500,Tidak,Milik sendiri,1,"Sawah irigasi, Sawah tadah hujan",Tidak Mencukupi,Ada pemupukan,Pupuk urea,Ada,"Tikus, Siput Murbai/Keong, Wereng","Bercak daun, Busuk batang",Ada,Ada,Mencabut rumput
PRD087,PTN051,nov - jan,2400,Februari,2400,3,540,2.000.000,6500,Tidak,Milik sendiri,1,"Sawah irigasi, Sawah tadah hujan",Tidak Mencukupi,Ada pemupukan,Pupuk urea,Ada,"Tikus, Siput Murbai/Keong, Wereng","Bercak daun, Busuk batang",Ada,Ada,Mencabut rumput
