,count,mean,std,min,max,missing_pct
SST,2964,29.01595479082321,0.6601615174637574,27.41,31.21,10.9107303877367
Prec,1664,0.11496394230769232,0.2873130104730635,-0.1,1.82,49.984971445746915
RH,3076,79.75071521456437,4.544342267344453,65.2,94.0,7.5443342350465885
WSPD,3029,5.819214262132716,2.4996001483370636,0.0,12.1,8.957018334836189
SWRad,3142,219.11196690006366,65.79405673733945,18.6,323.6,5.560565073639916
year,3327,2012.0733393447551,3.8543111097902103,2006.0,2020.0,0.0
month,3327,6.320108205590622,3.6442891328128155,1.0,12.0,0.0
day,3327,15.666366095581605,8.765977018371611,1.0,31.0,0.0
