,Total_Records,Available_Records,Coverage_Pct
SST,3323,2964,89.19650917845321
Prec,3323,1682,50.61691242852844
RH,3323,3076,92.56695756846224
WSPD,3323,3024,91.00210653024375
SWRad,3323,3142,94.55311465543184
