Date,Year,month,day,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,DDD_CAR
2025-03-16,2025,3,16,23.2,31.5,26.2,88,33.6,7.2,4,320,2,SE
2025-03-17,2025,3,17,23.1,33,27.2,81,8888,7.1,3,320,1,N
2025-03-18,2025,3,18,22.4,32.8,27.5,80,0,6.3,5,130,3,E
2025-03-19,2025,3,19,23.4,32.6,27.4,81,0,8,5,120,2,SE
2025-03-20,2025,3,20,23.2,33,27.4,78,0,7.3,4,120,3,SE
2025-03-21,2025,3,21,22.6,32.3,27.6,80,0,5.7,5,140,3,SE
2025-03-22,2025,3,22,23,33,26.5,81,0,5.1,6,140,3,SE
2025-03-23,2025,3,23,22.6,31.8,27.1,80,0,6.3,4,130,3,SE
2025-03-24,2025,3,24,22.8,32.4,24.9,89,0.6,3,2,280,2,SE
2025-03-25,2025,3,25,22.6,32.6,26.7,82,6.4,5.6,3,140,2,SE
2025-03-26,2025,3,26,22.2,32.6,26.9,87,8888,7.3,5,330,2,SE
2025-03-27,2025,3,27,23.8,32,27.2,86,6.3,6.9,6,340,2,SE
2025-03-28,2025,3,28,22.6,32.4,26.3,85,0,5.6,4,190,2,W
2025-03-29,2025,3,29,23.2,32.2,27.1,87,0,3.6,4,230,2,SE
2025-03-30,2025,3,30,23.2,33.2,26.9,84,0,4.1,3,290,2,SE
2025-03-31,2025,3,31,22.2,32.8,26.5,87,8888,6,4,190,2,SE
2025-04-01,2025,4,1,23,33.2,26.2,85,5.5,4.1,3,150,2,SE
2025-04-02,2025,4,2,22.4,33,27.3,85,8888,4.4,4,150,2,SE
2025-04-03,2025,4,3,23.8,33.2,26.5,85,8888,5.1,3,300,2,SE
2025-04-04,2025,4,4,23.2,30.2,26.3,89,3.2,5.6,3,350,1,SE
2025-04-05,2025,4,5,23.2,32,24.9,94,9.1,1.6,5,100,2,SE
2025-04-06,2025,4,6,21.8,31.8,25.4,88,7.9,4.3,4,300,2,SE
2025-04-07,2025,4,7,21.6,33.2,27.2,83,2.9,3.1,4,130,2,SE
2025-04-08,2025,4,8,24.6,33.2,26.7,89,0,7.5,3,330,2,SE
2025-04-09,2025,4,9,23.8,32.2,27,86,23.5,4.3,4,180,2,W
2025-04-10,2025,4,10,24,31.4,27,85,8888,2,4,340,2,SE
2025-04-11,2025,4,11,24.4,30,25.9,92,0,4.4,4,310,2,NW
2025-04-12,2025,4,12,23,32.2,26.7,84,22,1.3,5,310,2,SE
2025-04-13,2025,4,13,23.2,33.4,27.2,83,0.4,5.7,3,200,2,SE
2025-04-14,2025,4,14,23.2,33.2,27.5,85,0,7.4,4,290,2,SE
2025-04-15,2025,4,15,24,32,26.7,90,0.2,4.9,5,180,1,E
2025-04-16,2025,4,16,23.8,28.9,25.3,91,2.5,5.5,3,160,2,SE
2025-04-17,2025,4,17,22.8,32.8,27,82,2.6,0,3,290,2,SE
2025-04-18,2025,4,18,23.2,34.4,27.1,83,0,6.6,3,100,2,E
2025-04-19,2025,4,19,23.5,32.6,26.9,84,0,8,4,230,2,SE
2025-04-20,2025,4,20,23.4,33.2,26.3,85,8888,5,5,180,2,S
2025-04-21,2025,4,21,22.3,32.6,26.8,80,8888,4.9,5,310,2,NW
2025-04-22,2025,4,22,22.2,32.2,26.7,87,0,7.6,4,140,2,SE
2025-04-23,2025,4,23,23,33.2,26.3,86,1,5.5,6,220,2,SE
2025-04-24,2025,4,24,22.8,32.8,26.3,87,8888,6.2,5,210,2,S
2025-04-25,2025,4,25,22.8,32,26.1,86,5,3.3,3,300,2,SE
2025-04-26,2025,4,26,22.7,34,27.9,78,0,5.7,4,90,2,SE
2025-04-27,2025,4,27,24,32,27.5,88,0,7.8,3,230,2,E
2025-04-28,2025,4,28,24.2,31,25.7,90,0.9,5.5,3,220,2,SE
2025-04-29,2025,4,29,21.8,32.9,26,85,19.1,2.1,5,280,2,SE
2025-04-30,2025,4,30,21.8,32.8,27.1,83,25.9,7.9,3,10,2,SE
2025-05-01,2025,5,1,23.4,32.3,27,89,0,8,3,180,1,SE
2025-05-02,2025,5,2,23.2,32.2,27.5,84,7.7,4.1,5,300,2,SE
2025-05-03,2025,5,3,24.6,33,27.2,86,8888,5.4,4,310,2,SE
2025-05-04,2025,5,4,23.4,32.8,27,82,0,6.7,4,190,2,SW
2025-05-05,2025,5,5,23.4,33.4,27.7,80,0,3.9,4,300,2,SE
2025-05-06,2025,5,6,23.6,33.2,27.2,86,0,7.8,5,130,2,SE
2025-05-07,2025,5,7,24,32.8,26.8,86,12.8,3.4,5,130,2,SE
2025-05-08,2025,5,8,24.2,34,28,79,2,6.6,3,210,2,SW
2025-05-09,2025,5,9,24,33.5,27.7,80,2.1,5.8,5,180,2,S
2025-05-10,2025,5,10,24,34.4,28.1,79,8888,8,4,230,2,SW
2025-05-11,2025,5,11,24.6,33.4,28.3,77,0,7.6,5,210,3,SW
2025-05-12,2025,5,12,24.6,31.4,28,72,0,8,5,230,3,SW
2025-05-13,2025,5,13,24,31.8,27.7,80,1.5,3.2,5,310,2,NW
2025-05-14,2025,5,14,23.8,33.3,26.8,85,4.8,1.4,2,270,1,SE
2025-05-15,2025,5,15,23.6,33.5,27.8,84,8888,3.8,3,330,2,SE
2025-05-16,2025,5,16,24.6,32,27.5,82,4.5,5.5,5,140,2,SW
2025-05-17,2025,5,17,24.6,32.4,28,77,8888,3,5,170,2,S
2025-05-18,2025,5,18,23.9,34.4,28,80,8,2.8,3,140,2,SE
2025-05-19,2025,5,19,24,33.4,27.5,84,1.2,8,4,150,2,SE
2025-05-20,2025,5,20,24.2,32,26.9,89,0,6.2,4,290,2,SE
2025-05-21,2025,5,21,24.6,34.2,28.5,79,14.5,3.9,3,310,2,E
2025-05-22,2025,5,22,24.4,34.2,28.9,78,0,7.5,7,200,3,S
2025-05-23,2025,5,23,25.8,30.8,29.2,68,0,7.4,4,180,2,S
2025-05-24,2025,5,24,24.4,31.2,27.2,83,6.1,1.7,4,220,2,SW
2025-05-25,2025,5,25,23.8,28.4,25.1,89,13.4,1,3,130,2,SE
2025-05-26,2025,5,26,23.4,28.8,25.7,91,28.4,0,2,210,1,SE
2025-05-27,2025,5,27,23.8,34,28,79,2,0,3,160,2,S
2025-05-28,2025,5,28,23.8,34.4,28.4,75,0,4.8,5,190,2,S
2025-05-29,2025,5,29,23.8,34.4,28.9,75,0,8,5,170,3,SW
2025-05-30,2025,5,30,24.4,35.2,27.8,79,0,8,4,140,2,SE
2025-05-31,2025,5,31,24,36,29.1,76,0,8,3,340,2,SE
2025-06-01,2025,6,1,24,34.4,29,75,0,8,4,210,2,SW
2025-06-02,2025,6,2,23.2,34.4,28,74,0,8,6,170,3,SW
2025-06-03,2025,6,3,22.7,34,27.5,74,0,8,4,190,2,SW
2025-06-04,2025,6,4,22.8,33.2,28.1,74,0,2.8,6,210,3,S
2025-06-05,2025,6,5,23.4,32.8,27.4,74,0,6.2,6,180,3,S
2025-06-06,2025,6,6,23.6,33.4,27.6,73,0,4.7,4,220,2,W
2025-06-07,2025,6,7,24.5,32.1,25.8,82,1.5,1.6,4,220,2,SE
2025-06-08,2025,6,8,23.4,30.4,26.1,86,6.8,2,4,230,2,W
2025-06-09,2025,6,9,23,29.6,25.6,86,13.1,0.2,4,240,2,SW
2025-06-10,2025,6,10,22.9,32.6,28.7,66,7.1,1,11,200,4,S
2025-06-11,2025,6,11,26.2,34.8,30.4,61,3,3.7,7,190,3,S
2025-06-12,2025,6,12,24.4,32.1,27.8,76,8888,8,5,170,2,S
2025-06-13,2025,6,13,23.2,35.8,28.5,70,1,2.1,5,180,2,SE
2025-06-14,2025,6,14,23,34.4,27.4,79,0,8,5,330,2,NW
2025-06-15,2025,6,15,24.1,34,28.2,78,0,8,4,320,2,W
2025-06-16,2025,6,16,24,34.4,28.4,78,0,8,3,310,2,S
2025-06-17,2025,6,17,25.4,32.8,28.3,76,0,4.6,3,210,2,S
2025-06-18,2025,6,18,22.6,34.6,27.6,71,0,2.5,7,200,3,S
2025-06-19,2025,6,19,22.6,35.2,28.6,77,0,8,3,200,2,SE
2025-06-20,2025,6,20,23.8,34.4,28.4,73,0,3.3,4,170,2,SW
2025-06-21,2025,6,21,23.8,32.6,25.6,83,8888,6.9,4,260,2,NW
2025-06-22,2025,6,22,23,33.4,25,86,12.6,0.5,8,320,2,W
2025-06-23,2025,6,23,23,35,29.2,67,9.2,2.7,3,280,2,SW
2025-06-24,2025,6,24,23.4,35.2,28.4,74,8888,8,4,180,2,S
2025-06-25,2025,6,25,23.7,34.6,28.2,78,0,8,3,310,2,N
2025-06-26,2025,6,26,23.8,34.8,28.5,78,0,6.5,3,130,2,SE
2025-06-27,2025,6,27,24.2,35.4,29.1,73,0,8,5,190,2,S
2025-06-28,2025,6,28,24,34,28.3,73,0,8,6,230,3,SW
2025-06-29,2025,6,29,23,35.1,28.3,76,0,8,4,300,2,SE
2025-06-30,2025,6,30,23,36.8,28.6,67,0,8,4,330,2,SE
2025-07-01,2025,7,1,22.6,34.6,27.8,69,0,8,6,190,3,S
2025-07-02,2025,7,2,22.6,33.2,28,74,1.6,8,5,210,2,SW
2025-07-03,2025,7,3,23.8,33.6,28.2,72,8888,1.6,5,180,3,SE
2025-07-04,2025,7,4,21.4,35.6,27.7,68,0,5.5,4,190,2,S
2025-07-05,2025,7,5,21.4,34.8,28.1,73,0,8,6,270,3,SW
2025-07-06,2025,7,6,23,34.4,27.8,71,0,8,8,130,3,S
2025-07-07,2025,7,7,23.2,35,29,68,0,8,4,240,2,SW
2025-07-08,2025,7,8,24.6,31.8,26.9,79,1.5,7.2,5,200,3,S
2025-07-09,2025,7,9,23.8,34.8,28.4,70,1,0.1,4,220,2,S
2025-07-10,2025,7,10,22.8,33.2,24.7,88,0,5.2,3,330,2,SE
2025-07-11,2025,7,11,23.1,35,30.8,59,16.4,4.3,7,200,3,SW
2025-07-12,2025,7,12,24.8,31,27.7,75,0,6.8,6,220,3,S
2025-07-13,2025,7,13,25.2,34.2,30.3,58,1,0.2,6,170,3,S
2025-07-14,2025,7,14,24.4,30,25.5,87,1,6.6,4,300,2,NW
2025-07-15,2025,7,15,23.2,32,26.2,78,11.2,0.6,4,310,2,W
2025-07-16,2025,7,16,23.4,30.4,26.9,79,14.2,3.7,4,200,2,S
2025-07-17,2025,7,17,25,33.3,28.5,68,8888,2.5,6,200,4,S
2025-07-18,2025,7,18,24,33.2,28.6,69,0,8,6,180,4,S
2025-07-19,2025,7,19,24.6,32.8,28.5,66,0,8,7,190,4,S
2025-07-20,2025,7,20,25.6,29.4,26.9,75,3.5,6.8,5,230,3,SW
2025-07-21,2025,7,21,25,32.6,28.8,68,7.8,0,8,170,3,S
2025-07-22,2025,7,22,26.8,33.6,30.3,59,0,8,5,190,3,S
2025-07-23,2025,7,23,25.6,33.6,29.8,62,0,7.4,5,160,2,S
2025-07-24,2025,7,24,22,35,27.5,68,0,6.3,7,220,3,SW
2025-07-25,2025,7,25,22,34.2,28.9,63,0,8,4,230,3,W
2025-07-26,2025,7,26,22.8,34,27.6,73,8888,8,4,290,2,NW
2025-07-27,2025,7,27,21.6,33.8,27.1,71,0,8,5,230,2,NW
2025-07-28,2025,7,28,21.6,35.4,28.4,68,0,6.3,3,220,2,SW
2025-07-29,2025,7,29,22.6,35,28.1,72,0,8,7,190,3,S
2025-07-30,2025,7,30,22.4,34.2,28.5,66,0,8,7,200,5,S
2025-07-31,2025,7,31,24.2,34.8,28.7,71,0,8,6,210,4,SW
