Date,Holt_Winters_Forecast,Lower_CI,Upper_CI
2025-04-01,84.63466691084162,74.23788567069076,95.03144815099247
2025-04-02,82.8127466610745,72.41596542092364,93.20952790122536
2025-04-03,82.47986841129757,72.08308717114672,92.87664965144843
2025-04-04,84.04730029642809,73.65051905627723,94.44408153657895
2025-04-05,86.09720745806788,75.70042621791703,96.49398869821874
2025-04-06,86.8043520723311,76.40757083218024,97.20113331248196
2025-04-07,86.32209686728751,75.92531562713665,96.71887810743837
2025-04-08,85.15571238888802,74.75893114873716,95.55249362903888
2025-04-09,87.04577276050314,76.64899152035228,97.442554000654
2025-04-10,86.34217960820678,75.94539836805592,96.73896084835764
2025-04-11,85.71159393283695,75.31481269268609,96.1083751729878
2025-04-12,86.68280810998314,76.28602686983228,97.079589350134
2025-04-13,86.97250476042846,76.5757235202776,97.36928600057932
2025-04-14,85.51487997346365,75.11809873331279,95.91166121361451
2025-04-15,85.65812722370411,75.26134598355326,96.05490846385497
2025-04-16,85.09930346320833,74.70252222305747,95.49608470335919
2025-04-17,85.85236613346467,75.45558489331381,96.24914737361553
2025-04-18,85.57320678413996,75.1764255439891,95.96998802429081
2025-04-19,86.9547043699665,76.55792312981565,97.35148561011736
2025-04-20,87.06525767959691,76.66847643944605,97.46203891974777
2025-04-21,85.74784106000314,75.35105981985228,96.144622300154
2025-04-22,88.48366214912838,78.08688090897752,98.88044338927924
2025-04-23,88.42134634616997,78.02456510601911,98.81812758632083
2025-04-24,87.4313789056731,77.03459766552224,97.82816014582396
2025-04-25,87.43075617170221,77.03397493155136,97.82753741185307
2025-04-26,85.98290091086635,75.58611967071549,96.3796821510172
2025-04-27,86.54554788651147,76.14876664636061,96.94232912666233
2025-04-28,86.1958360292647,75.79905478911384,96.59261726941556
2025-04-29,87.30927024626745,76.91248900611659,97.7060514864183
2025-04-30,86.49297497908505,76.09619373893419,96.8897562192359
2025-05-01,86.97107224163358,76.57429100148272,97.36785348178444
2025-05-02,87.1103552879876,76.71357404783674,97.50713652813846
2025-05-03,88.45429949637153,78.05751825622067,98.85108073652239
2025-05-04,86.12846810682603,75.73168686667518,96.52524934697689
2025-05-05,86.88723859570199,76.49045735555113,97.28401983585285
2025-05-06,86.30682435874664,75.91004311859578,96.7036055988975
2025-05-07,86.1939507649967,75.79716952484584,96.59073200514756
2025-05-08,86.01062568557454,75.61384444542368,96.4074069257254
2025-05-09,85.39280882349536,74.9960275833445,95.78959006364622
2025-05-10,86.68222482497595,76.28544358482509,97.0790060651268
2025-05-11,86.56785160500971,76.17107036485885,96.96463284516057
2025-05-12,87.45678156968789,77.06000032953703,97.85356280983875
2025-05-13,88.5818567433692,78.18507550321834,98.97863798352006
2025-05-14,89.03562063314475,78.63883939299389,99.4324018732956
2025-05-15,88.54726039407163,78.15047915392077,98.94404163422249
2025-05-16,88.47424867288822,78.07746743273736,98.87102991303908
2025-05-17,89.13331093855582,78.73652969840496,99.53009217870668
2025-05-18,88.8221667465794,78.42538550642854,99.21894798673026
2025-05-19,86.89735252112982,76.50057128097896,97.29413376128068
2025-05-20,87.36155773980865,76.96477649965779,97.7583389799595
2025-05-21,87.53327990779745,77.13649866764659,97.93006114794831
2025-05-22,87.34052708152623,76.94374584137537,97.73730832167709
2025-05-23,86.666856626761,76.27007538661015,97.06363786691186
2025-05-24,88.40393144275131,78.00715020260046,98.80071268290217
2025-05-25,88.99795627722806,78.6011750370772,99.39473751737891
2025-05-26,89.13809814961972,78.74131690946886,99.53487938977058
2025-05-27,89.40370939727646,79.0069281571256,99.80049063742732
2025-05-28,86.96082804629637,76.56404680614551,97.35760928644723
2025-05-29,88.52556856970531,78.12878732955446,98.92234980985617
2025-05-30,90.33315256595826,79.9363713258074,100.72993380610912
