Date,Year,Month,Day,SWRad,StDev,Max,Q,S
2005-01-01,2005,1,1,155.61,189.97,681.56,2,5
2005-01-02,2005,1,2,57.16,83.72,289.75,2,5
2005-01-03,2005,1,3,130.86,171.2,694.65,2,5
2005-01-04,2005,1,4,269.79,352.19,1284.63,2,5
2005-01-05,2005,1,5,79.43,134.5,645.0,2,5
2005-01-06,2005,1,6,201.02,323.93,1440.81,2,5
2005-01-07,2005,1,7,207.99,293.37,1116.26,2,5
2005-01-08,2005,1,8,220.28,319.87,1175.39,2,5
2005-01-09,2005,1,9,151.15,231.7,956.01,2,5
2005-01-10,2005,1,10,263.52,362.88,1267.93,2,5
2005-01-11,2005,1,11,172.85,324.14,1221.43,2,5
2005-01-12,2005,1,12,253.74,355.2,1231.36,2,5
2005-01-13,2005,1,13,263.74,353.8,1166.36,2,5
2005-01-14,2005,1,14,287.46,385.61,1138.83,2,5
2005-01-15,2005,1,15,292.67,378.93,1072.47,2,5
2005-01-16,2005,1,16,232.07,347.95,1176.29,2,5
2005-01-17,2005,1,17,282.34,370.14,1040.42,2,5
2005-01-18,2005,1,18,276.43,372.54,1041.78,2,5
2005-01-19,2005,1,19,285.37,384.28,1060.28,2,5
2005-01-20,2005,1,20,274.95,368.08,1238.59,2,5
2005-01-21,2005,1,21,300.97,386.57,1082.85,2,5
2005-01-22,2005,1,22,309.28,399.68,1184.87,2,5
2005-01-23,2005,1,23,301.83,390.35,1090.98,2,5
2005-01-24,2005,1,24,297.73,390.46,1293.21,2,5
2005-01-25,2005,1,25,234.32,339.89,1411.47,2,5
2005-01-26,2005,1,26,96.61,151.22,748.82,2,5
2005-01-27,2005,1,27,238.49,318.47,1219.63,2,5
2005-01-28,2005,1,28,178.69,274.18,1386.64,2,5
2005-01-29,2005,1,29,160.67,266.51,1297.27,2,5
2005-01-30,2005,1,30,315.25,396.59,1299.53,2,5
2005-01-31,2005,1,31,301.13,403.93,1272.44,2,5
2005-02-01,2005,2,1,193.73,322.05,1287.79,2,5
2005-02-02,2005,2,2,292.21,379.78,1165.46,2,5
2005-02-03,2005,2,3,274.78,397.81,1297.72,2,5
2005-02-04,2005,2,4,293.4,393.58,1288.69,2,5
2005-02-05,2005,2,5,301.2,409.58,1222.79,2,5
2005-02-06,2005,2,6,298.1,413.34,1419.15,2,5
2005-02-07,2005,2,7,248.14,345.27,1102.72,2,5
2005-02-08,2005,2,8,278.48,383.13,1104.97,2,5
2005-02-09,2005,2,9,273.87,390.4,1273.34,2,5
2005-02-10,2005,2,10,247.73,363.59,1346.47,2,5
2005-02-11,2005,2,11,292.75,386.38,1119.87,2,5
2005-02-12,2005,2,12,285.27,391.66,1194.35,2,5
2005-02-13,2005,2,13,310.1,398.59,1241.29,2,5
2005-02-14,2005,2,14,311.14,401.21,1105.88,2,5
2005-02-15,2005,2,15,317.26,409.32,1122.13,2,5
2005-02-16,2005,2,16,255.61,363.59,1176.75,2,5
2005-02-17,2005,2,17,276.94,394.2,1208.34,2,5
