Date,Year,Month,Day,Prec,StDev,%Time,Q,S
2005-01-01,2005,Januari,1,0.36,1.2,9.7,2,5
2005-01-02,2005,Januari,2,0.19,0.46,6.9,2,5
2005-01-03,2005,Januari,3,0.0,0.01,0.0,2,5
2005-01-04,2005,Januari,4,0.13,1.13,1.4,2,5
2005-01-05,2005,Januari,5,0.95,3.48,10.4,2,5
2005-01-06,2005,Januari,6,0.23,1.13,5.6,2,5
2005-01-07,2005,Januari,7,0.0,0.05,0.0,2,5
2005-01-08,2005,Januari,8,1.23,3.45,18.1,2,5
2005-01-09,2005,Januari,9,0.37,1.72,8.3,2,5
2005-01-10,2005,Januari,10,0.85,4.33,10.4,2,5
2005-01-11,2005,Januari,11,0.95,2.66,19.4,2,5
2005-01-12,2005,Januari,12,0.09,0.83,2.8,2,5
2005-01-13,2005,Januari,13,0.0,0.24,0.7,2,5
2005-01-14,2005,Januari,14,-0.01,0.12,0.7,2,5
2005-01-15,2005,Januari,15,-0.02,0.02,0.0,2,5
2005-01-16,2005,Januari,16,0.76,4.5,4.9,2,5
2005-01-17,2005,Januari,17,0.0,0.09,0.0,2,5
2005-01-18,2005,Januari,18,-0.01,0.08,0.0,2,5
2005-01-19,2005,Januari,19,0.28,1.12,7.6,2,5
2005-01-20,2005,Januari,20,0.0,0.14,0.0,2,5
2005-01-21,2005,Januari,21,0.0,0.17,0.0,2,5
2005-01-22,2005,Januari,22,-0.01,0.14,0.0,2,5
2005-01-23,2005,Januari,23,-0.01,0.13,0.0,2,5
2005-01-24,2005,Januari,24,0.0,0.11,0.0,2,5
2005-01-25,2005,Januari,25,3.26,9.22,21.5,2,5
2005-01-26,2005,Januari,26,0.24,0.72,9.7,2,5
2005-01-27,2005,Januari,27,-0.02,0.02,0.0,2,5
2005-01-28,2005,Januari,28,2.52,8.04,23.6,2,5
2005-01-29,2005,Januari,29,0.01,0.1,0.0,2,5
2005-01-30,2005,Januari,30,0.0,0.09,0.0,2,5
2005-01-31,2005,Januari,31,0.0,0.12,0.0,2,5
2005-02-01,2005,Februari,1,0.0,0.08,0.0,2,5
2005-02-02,2005,Februari,2,0.0,0.06,0.0,2,5
2005-02-03,2005,Februari,3,0.0,0.05,0.0,2,5
2005-02-04,2005,Februari,4,0.0,0.05,0.0,2,5
2005-02-05,2005,Februari,5,0.0,0.04,0.0,2,5
2005-02-06,2005,Februari,6,0.0,0.06,0.0,2,5
2005-02-07,2005,Februari,7,0.02,0.25,1.4,2,5
2005-02-08,2005,Februari,8,0.16,1.32,1.4,2,5
2005-02-09,2005,Februari,9,0.14,1.23,2.1,2,5
2005-02-10,2005,Februari,10,0.13,1.25,1.4,2,5
2005-02-11,2005,Februari,11,-0.01,0.01,0.0,2,5
2005-02-12,2005,Februari,12,-0.01,0.01,0.0,2,5
2005-02-13,2005,Februari,13,0.0,0.02,0.0,2,5
2005-02-14,2005,Februari,14,-0.01,0.04,0.0,2,5
2005-02-15,2005,Februari,15,0.0,0.03,0.0,2,5
2005-02-16,2005,Februari,16,-0.01,0.04,0.0,2,5
2005-02-17,2005,Februari,17,0.41,2.25,5.6,2,5
2005-02-18,2005,Februari,18,-0.01,0.02,0.0,2,5
2005-02-19,2005,Februari,19,-0.01,0.03,0.0,2,5
2005-02-20,2005,Februari,20,0.01,0.1,0.7,2,5
2005-02-21,2005,Februari,21,2.99,8.14,25.0,2,5
2005-02-22,2005,Februari,22,0.18,0.87,4.9,2,5
2005-02-23,2005,Februari,23,-0.01,0.05,0.0,2,5
2005-02-24,2005,Februari,24,-0.01,0.05,0.0,2,5
2005-02-25,2005,Februari,25,-0.01,0.05,0.0,2,5
2005-02-26,2005,Februari,26,0.05,0.45,1.4,2,5
2005-02-27,2005,Februari,27,-0.01,0.05,0.0,2,5
2005-02-28,2005,Februari,28,0.0,0.08,0.0,2,5
2005-03-01,2005,Maret,1,0.01,0.1,0.0,2,5
2005-03-02,2005,Maret,2,0.0,0.03,0.0,2,5
2005-03-03,2005,Maret,3,0.15,1.09,2.1,2,5
2005-03-04,2005,Maret,4,-0.01,0.09,0.0,2,5
2005-03-05,2005,Maret,5,0.0,0.08,0.0,2,5
2005-03-06,2005,Maret,6,0.07,0.7,1.4,2,5
2005-03-07,2005,Maret,7,-0.01,0.13,0.0,2,5
2005-03-08,2005,Maret,8,-0.01,0.12,0.0,2,5
2005-03-09,2005,Maret,9,3.88,13.58,20.7,2,5
2005-03-10,2005,Maret,10,-0.02,0.14,0.0,2,5
2005-03-11,2005,Maret,11,0.0,0.11,0.0,2,5
2005-03-12,2005,Maret,12,-0.01,0.12,0.0,2,5
2005-03-13,2005,Maret,13,0.0,0.19,0.0,2,5
2005-03-14,2005,Maret,14,0.01,0.17,0.7,2,5
2005-03-15,2005,Maret,15,0.0,0.14,0.0,2,5
2005-03-16,2005,Maret,16,-0.01,0.13,0.0,2,5
2005-03-17,2005,Maret,17,-0.01,0.11,0.0,2,5
2005-03-18,2005,Maret,18,-0.01,0.16,0.0,2,5
2005-03-19,2005,Maret,19,0.02,0.23,1.4,2,5
2005-03-20,2005,Maret,20,0.05,0.46,1.4,2,5
2005-03-21,2005,Maret,21,1.16,5.13,18.8,2,5
2005-03-22,2005,Maret,22,0.29,1.94,5.6,2,5
2005-03-23,2005,Maret,23,0.12,1.33,1.4,2,5
2005-03-24,2005,Maret,24,2.32,6.66,18.1,2,5
2005-03-25,2005,Maret,25,0.12,0.69,4.2,2,5
2005-03-26,2005,Maret,26,0.69,2.52,12.5,2,5
2005-03-27,2005,Maret,27,0.14,0.63,4.9,2,5
2005-03-28,2005,Maret,28,0.21,1.72,2.1,2,5
2005-03-29,2005,Maret,29,-0.02,0.04,0.0,2,5
2005-03-30,2005,Maret,30,0.59,3.69,5.6,2,5
2005-03-31,2005,Maret,31,0.01,0.14,0.7,2,5
2005-04-01,2005,April,1,0.54,2.43,9.0,2,5
2005-04-02,2005,April,2,0.0,0.04,0.0,2,5
2005-04-03,2005,April,3,0.0,0.01,0.0,2,5
2005-04-04,2005,April,4,0.0,0.02,0.0,2,5
2005-04-05,2005,April,5,0.0,0.02,0.0,2,5
2005-04-06,2005,April,6,-0.01,0.02,0.0,2,5
2005-04-07,2005,April,7,0.0,0.02,0.0,2,5
2005-04-08,2005,April,8,0.0,0.02,0.0,2,5
2005-04-09,2005,April,9,0.0,0.02,0.0,2,5
2005-04-10,2005,April,10,-0.01,0.03,0.0,2,5
2005-04-11,2005,April,11,-0.01,0.05,0.0,2,5
2005-04-12,2005,April,12,0.01,0.18,0.7,2,5
2005-04-13,2005,April,13,0.0,0.11,0.0,2,5
2005-04-14,2005,April,14,-0.01,0.06,0.0,2,5
2005-04-15,2005,April,15,-0.01,0.03,0.0,2,5
2005-04-16,2005,April,16,0.0,0.06,0.0,2,5
2005-04-17,2005,April,17,1.79,7.54,12.5,2,5
2005-04-18,2005,April,18,-0.01,0.13,0.0,2,5
2005-04-19,2005,April,19,0.0,0.13,0.0,2,5
2005-04-20,2005,April,20,0.02,0.26,2.1,2,5
2005-04-21,2005,April,21,0.11,1.01,1.4,2,5
2005-04-22,2005,April,22,0.0,0.07,0.0,2,5
2005-04-23,2005,April,23,0.0,0.06,0.0,2,5
2005-04-24,2005,April,24,0.0,0.1,0.0,2,5
2005-04-25,2005,April,25,0.0,0.09,0.0,2,5
2005-04-26,2005,April,26,0.02,0.08,0.0,2,5
2005-04-27,2005,April,27,0.38,1.8,11.1,2,5
2005-04-28,2005,April,28,-0.01,0.09,0.0,2,5
2005-04-29,2005,April,29,0.0,0.06,0.0,2,5
2005-04-30,2005,April,30,0.0,0.07,0.0,2,5
2005-05-01,2005,Mei,1,0.42,1.63,12.5,2,5
2005-05-02,2005,Mei,2,0.82,2.74,10.4,2,5
2005-05-03,2005,Mei,3,2.86,8.31,20.8,2,5
2005-05-04,2005,Mei,4,1.4,3.34,20.8,2,5
2005-05-05,2005,Mei,5,0.66,3.0,7.6,2,5
2005-05-06,2005,Mei,6,1.14,3.53,15.3,2,5
2005-05-07,2005,Mei,7,0.78,2.71,14.6,2,5
2005-05-08,2005,Mei,8,1.04,3.62,14.6,2,5
2005-05-09,2005,Mei,9,0.0,0.19,1.4,2,5
2005-05-10,2005,Mei,10,-0.01,0.26,1.4,2,5
2005-05-11,2005,Mei,11,0.08,0.88,1.4,2,5
2005-05-12,2005,Mei,12,-0.02,0.09,0.0,2,5
2005-05-13,2005,Mei,13,-0.01,0.05,0.0,2,5
2005-05-14,2005,Mei,14,0.01,0.13,0.7,2,5
2005-05-15,2005,Mei,15,-0.01,0.06,0.0,2,5
2005-05-16,2005,Mei,16,-0.01,0.06,0.0,2,5
2005-05-17,2005,Mei,17,-0.01,0.05,0.0,2,5
2005-05-18,2005,Mei,18,-0.01,0.05,0.0,2,5
2005-05-19,2005,Mei,19,-0.01,0.07,0.0,2,5
2005-05-20,2005,Mei,20,-0.02,0.03,0.0,2,5
2005-05-21,2005,Mei,21,-0.02,0.02,0.0,2,5
2005-05-22,2005,Mei,22,-0.02,0.02,0.0,2,5
2005-05-23,2005,Mei,23,-0.02,0.02,0.0,2,5
2005-05-24,2005,Mei,24,-0.01,0.05,0.0,2,5
