Date,Year,month,day,T2M,T2M_MAX,T2M_MIN,RH2M,PRECTOTCORR,ALLSKY_SFC_SW_DWN,WS10M,WS10M_MAX,WD10M
30/7/2025,2025,7,30,28.86,32.21,26.15,74.42,0.88,21.45,1.12,2.35,32.8
29/7/2025,2025,7,29,28.2,29.28,27.37,84.23,0.14,22.41,1.4,2.85,69.6
28/7/2025,2025,7,28,28.48,30.29,26.32,83.26,0.08,23.17,2.18,3.75,118.4
27/7/2025,2025,7,27,28.8,31.07,26.98,79.08,0.07,18.71,1.59,2.7,358.6
26/7/2025,2025,7,26,28.58,31.81,25.65,74.15,0.04,19.83,1.79,2.58,109.8
25/7/2025,2025,7,25,28.65,32.46,24.75,69.31,0.07,24.51,1.74,2.51,135.6
24/7/2025,2025,7,24,27.94,31.17,24.99,72.96,0.23,23.72,1.56,2.9,18.1
23/7/2025,2025,7,23,27.51,30.86,24,75.4,0.2,23.76,1.63,2.37,148.6
22/7/2025,2025,7,22,28.14,31.99,24.51,71.54,0.17,22.18,1.61,2.57,265.3
21/7/2025,2025,7,21,28.66,32.18,26.34,70.44,0.39,19.59,1.52,3,295.6
20/7/2025,2025,7,20,28.73,31.63,26.3,73.54,1.91,12.64,1.72,2.66,243.7
19/7/2025,2025,7,19,28.33,31.45,25.58,77.56,1.28,22.81,1.75,2.49,47.1
18/7/2025,2025,7,18,28.65,32.4,25.4,72.51,0.45,23.07,1.31,2.44,298.2
17/7/2025,2025,7,17,27.79,30,26.08,82.76,1.02,23.15,2.04,3.53,50.8
16/7/2025,2025,7,16,27.73,31.1,24.91,79.69,1.11,15.69,2.18,3.69,62.6
15/7/2025,2025,7,15,26.84,30.12,24.29,80.6,3.21,18.07,1.68,2.57,255.8
14/7/2025,2025,7,14,27.06,28.64,25.06,85.26,18.43,12.58,2.39,4.28,332.3
13/7/2025,2025,7,13,28.57,32.26,25.78,78.32,0.84,15.45,1.54,2.34,123.3
12/7/2025,2025,7,12,27.17,28.8,25.68,88.05,6.79,14.99,2.13,3.89,134.9
11/7/2025,2025,7,11,28.24,31.7,25.24,77.87,4.61,23.19,2.15,3.41,283
10/7/2025,2025,7,10,28.29,30.31,26.69,74.53,4.42,20.7,1.47,3.12,328.1
9/7/2025,2025,7,9,28.1,31.08,25.12,72.1,1.86,20.56,1.2,2.12,357.2
8/7/2025,2025,7,8,26.83,29.67,24.82,81.5,1.83,9.8,2,3.72,343.3
7/7/2025,2025,7,7,28.5,32.48,26.19,75.88,1.19,20.16,1.66,2.6,333.9
6/7/2025,2025,7,6,28.31,30.39,26.07,78.69,0.94,21.95,1.86,4.34,118.3
5/7/2025,2025,7,5,28.84,31.45,26.61,75.57,1.56,23.7,1.4,2.36,86.7
4/7/2025,2025,7,4,28.62,31.8,26.01,72.61,2.06,23.58,1.35,1.89,24.8
3/7/2025,2025,7,3,27.33,29.02,25.58,82.59,1.14,11.73,1.86,4.11,105.6
2/7/2025,2025,7,2,27.73,31.06,26.03,81.17,1.63,15.85,2.09,3.43,18.3
1/7/2025,2025,7,1,27.68,30.77,24.57,76.25,0.25,23.28,1.67,2.75,72.4
30/6/2025,2025,6,30,27.43,30.4,24.07,75.05,0.05,23.37,2.15,3.23,293.5
29/6/2025,2025,6,29,27.22,30.51,24.24,79.01,0.15,23,1.74,3.3,184.6
28/6/2025,2025,6,28,28.71,32.41,26.46,72.99,0.33,22.06,1.97,3.63,238.5
27/6/2025,2025,6,27,28.02,30.27,26.45,84.47,0.17,10.26,2.69,4.33,23.5
26/6/2025,2025,6,26,27.89,29.59,26.23,82.11,0.24,14.45,1.66,2.22,99.1
25/6/2025,2025,6,25,27.88,30.23,25.25,77.1,0.4,17.86,1.49,2.33,136.1
24/6/2025,2025,6,24,27.73,31.06,23.93,71.83,0.64,22.35,2.1,3.36,239.5
23/6/2025,2025,6,23,27.89,30.38,25.7,78.81,1.94,21.99,2,2.68,304.6
22/6/2025,2025,6,22,27.83,31.11,24.57,75.17,0.59,17.91,1.71,2.52,223.7
21/6/2025,2025,6,21,27.28,29.5,25.59,75.19,2.07,12.17,1.84,3.11,298
20/6/2025,2025,6,20,27.4,29.17,25.69,78.87,2.91,17.59,1.8,2.9,154.8
19/6/2025,2025,6,19,28.12,31.13,25.89,78.52,1.27,20.62,2.14,3.02,10.9
18/6/2025,2025,6,18,27.5,29.31,26.13,81.1,0.46,18.55,1.51,2.9,138
17/6/2025,2025,6,17,27.51,30.15,24.86,77.37,1.03,20.25,2.65,3.72,303.9
16/6/2025,2025,6,16,27.28,29.71,25.69,80.16,3.04,9.55,2.23,2.96,296
15/6/2025,2025,6,15,28.07,30.57,26.22,80.54,2.98,19.03,1.84,3.2,318.8
14/6/2025,2025,6,14,28.48,30.49,26.65,78.35,0.64,17.89,1.21,1.95,1.6
13/6/2025,2025,6,13,28.41,31.87,25.15,78.25,0.52,18.77,1.47,2.39,138.3
12/6/2025,2025,6,12,28.21,31.64,25.09,75.12,5.8,16.5,1.67,2.41,237.9
11/6/2025,2025,6,11,27.93,31.99,23.99,72.89,15.37,21.05,1.65,3.19,37.5
10/6/2025,2025,6,10,26.75,30.43,24.07,73.6,7.1,17.14,2.41,3.01,234.1
9/6/2025,2025,6,9,26.94,30.13,24.57,78.53,14.23,20.2,2.63,3.29,259.8
8/6/2025,2025,6,8,26.59,29.14,24.11,81.04,4.86,20.7,2.04,3.25,275.8
7/6/2025,2025,6,7,25.72,27.37,23.97,82.16,3.86,4.36,3.71,5.67,271.1
6/6/2025,2025,6,6,26.87,28.51,25.58,88.51,6.51,19.36,4.4,8.13,325
5/6/2025,2025,6,5,27.37,29.13,26.01,84.61,25.71,16.45,2.1,3.41,126.8
4/6/2025,2025,6,4,27.81,29.51,26.47,80.65,1.83,17.34,1.9,3.43,312.5
3/6/2025,2025,6,3,28.68,31.6,26.41,76.88,0.67,12.42,1.82,2.64,324.3
2/6/2025,2025,6,2,28.14,30.32,26.26,83.98,0.48,21.07,2.35,3.15,32
1/6/2025,2025,6,1,29.2,32.73,26.15,73.96,0.36,22.2,1.98,3,308.7
31/5/2025,2025,5,31,28.49,31.74,25.79,73.37,0.3,22.95,1.59,2.2,131.6
30/5/2025,2025,5,30,28.26,30.76,25.38,75.79,0.36,22.32,1.51,2.18,129.5
29/5/2025,2025,5,29,28.48,32.1,25.37,72.63,0.25,18.32,1.72,2.51,159
28/5/2025,2025,5,28,28.65,32.71,24.46,69.89,0.11,23.24,1.63,3.04,232.2
27/5/2025,2025,5,27,27.59,30.19,24.71,76.21,0.38,17.17,2.78,6.06,280
26/5/2025,2025,5,26,27.97,31.29,25.38,76.87,3.75,7.35,1.52,2.82,282.3
25/5/2025,2025,5,25,27.59,30.32,25.96,79.75,2.69,5.31,1.71,3.08,280.6
24/5/2025,2025,5,24,27.42,30.33,24.62,79.53,2.84,11.23,1.69,2.55,142.6
23/5/2025,2025,5,23,27.94,31.2,25.66,77.32,1.69,18.21,2.52,2.98,279.6
22/5/2025,2025,5,22,28.16,30.69,26.09,82.29,2.42,10.69,3.19,4.55,311.1
21/5/2025,2025,5,21,28.35,31.12,26.6,78.75,1.52,22.43,2.06,3.95,305.6
20/5/2025,2025,5,20,28.23,29.94,26.62,82.23,0.54,8.79,1.53,2.49,2.3
19/5/2025,2025,5,19,27.79,29.59,26.57,87.37,1.15,12.88,2.62,3.78,356
18/5/2025,2025,5,18,28.25,30.11,27.01,86.51,0.75,22.5,2.36,3.53,25.9
17/5/2025,2025,5,17,28.67,31.45,27.08,84.38,2.3,14.97,2.32,3.25,27.9
16/5/2025,2025,5,16,28.03,30.19,26.34,86.47,32.76,15.36,2.62,3.45,105.9
15/5/2025,2025,5,15,27.56,29.39,25.77,86.05,1.82,17.77,2.39,3.38,106.7
14/5/2025,2025,5,14,26.91,28.48,25.6,89.1,4.94,11.37,3.36,5.15,30.8
13/5/2025,2025,5,13,27.29,29.08,25.67,87.89,8.76,19.17,2.91,5.07,48
12/5/2025,2025,5,12,26.69,27.77,25.56,90.35,11.01,19.38,2.37,4.19,80.7
11/5/2025,2025,5,11,28.19,31.38,25.55,83.77,1.11,14.97,2.44,3.49,302.8
10/5/2025,2025,5,10,28.18,30.13,26.49,87.24,1.55,14.87,2.33,3.82,17.1
9/5/2025,2025,5,9,28.4,31.3,25.85,79.53,0.86,22.68,1.96,3.64,349.8
8/5/2025,2025,5,8,27.71,30.8,25.33,82.94,3.19,15.08,2.56,4.41,330.2
7/5/2025,2025,5,7,27.78,30.49,25.46,82.1,1.17,22.53,2.21,3.27,358.8
6/5/2025,2025,5,6,27.57,30.27,25.8,81.35,4.47,21,3.04,6.42,334.7
5/5/2025,2025,5,5,27.61,30.26,25.06,77.95,3.2,15.72,2.7,3.7,318.9
4/5/2025,2025,5,4,26.62,28.33,25.22,85.17,18.29,7.62,3.82,4.75,308
3/5/2025,2025,5,3,27.38,28.7,26.15,90.73,17.67,12.98,4.24,5.72,327.9
2/5/2025,2025,5,2,27.49,29.42,26.23,86.48,1.09,18.75,3.03,4.39,331.9
1/5/2025,2025,5,1,27.33,29.41,25.45,84.83,1.04,15.35,2.23,2.69,330.7
30/4/2025,2025,4,30,27.52,29.4,26.08,85.86,12.45,12.32,2.23,3.47,323.6
29/4/2025,2025,4,29,27.76,30.18,25.75,83.27,21.57,23.54,2.73,4.26,340.2
28/4/2025,2025,4,28,27.89,30.28,26.22,85.56,4.56,7.33,2.81,3.9,326.3
27/4/2025,2025,4,27,27.93,29.33,26.46,84.48,2.51,20.17,1.8,2.91,79
26/4/2025,2025,4,26,27.75,28.93,26.49,89.44,1.13,16.75,2.81,3.98,5.6
25/4/2025,2025,4,25,27.36,29.94,24.88,80.88,0.73,18.9,2.3,3.42,343.1
24/4/2025,2025,4,24,26.72,29.09,25.24,82.92,0.69,17.05,2.29,2.92,327.3
23/4/2025,2025,4,23,26.8,28.83,25.18,82.47,5.46,22,2.02,3.55,351.4
22/4/2025,2025,4,22,27.12,29.83,25.28,81.42,35.88,12.58,1.85,4.14,108.1
21/4/2025,2025,4,21,27.25,28.39,26.27,86.05,3.37,22.7,1.9,3.15,9.9
20/4/2025,2025,4,20,27.27,29.53,25.23,84.4,4.53,8.07,2.54,4.08,329.9
19/4/2025,2025,4,19,27.53,30.04,25.87,85.06,1.88,19.06,3.48,5.05,311.9
18/4/2025,2025,4,18,27.73,30.11,26.07,85.12,1.02,23.71,2.42,4.02,327.5
17/4/2025,2025,4,17,26.96,29.19,24.52,79.48,0.83,23.23,2.16,3.31,340.9
16/4/2025,2025,4,16,26.81,27.98,25.31,91.71,15.88,6.53,5.3,7.5,17.4
15/4/2025,2025,4,15,27.73,29.16,26.35,82.73,4.49,21.31,2.11,3.52,50.5
14/4/2025,2025,4,14,27.37,29.27,25.58,84.59,0.93,14.75,2.17,3.51,4.8
13/4/2025,2025,4,13,27.13,29.22,25.28,85.63,5.84,22.69,2.9,3.58,309.5
12/4/2025,2025,4,12,26.75,29.19,24.87,86.02,5.89,11.66,3.56,4.63,312.8
11/4/2025,2025,4,11,26.77,29.1,25.1,84.75,3.36,8.74,4.49,5.26,302.4
10/4/2025,2025,4,10,27.13,30.38,25.05,82.26,26.54,18.65,2.69,4.4,314.1
9/4/2025,2025,4,9,26.07,26.98,25.21,87.59,2.01,14.79,2.96,4.25,306.1
8/4/2025,2025,4,8,27.14,29.46,25.22,86.04,8.9,17.35,4.16,6.35,122.5
7/4/2025,2025,4,7,27.04,28.69,25.73,90.01,1.6,11.81,3.41,4.6,70.4
6/4/2025,2025,4,6,26.9,29.37,25.72,87.39,2.46,10.52,3.64,5.37,310.8
5/4/2025,2025,4,5,27.51,29.99,25.67,80.83,0.65,23.59,1.85,3.43,306.6
4/4/2025,2025,4,4,26.95,28.23,25.74,87.48,6.82,11.57,1.51,2.89,59.4
3/4/2025,2025,4,3,28.02,30.37,26.3,84.04,4.35,23.11,1.86,3.16,32.7
2/4/2025,2025,4,2,27.18,28.81,25.77,82.87,0.81,15.27,1.39,2.72,34.1
1/4/2025,2025,4,1,27.44,30.17,25.46,82.6,0.93,21.19,2.01,3.22,359.4
31/3/2025,2025,3,31,27.16,29.63,25.11,87.48,3.1,18.48,3.13,4.3,302.8
30/3/2025,2025,3,30,27.23,29.72,25.16,85.29,0.3,19.91,2.77,3.97,355
29/3/2025,2025,3,29,26.93,29.27,25.09,85.02,2.5,19.74,3.51,4.63,320.6
28/3/2025,2025,3,28,27.59,30.54,25.48,84.34,4.91,16.75,3.81,5.68,307.7
27/3/2025,2025,3,27,27.26,28.96,26.2,89.47,42.27,15.73,4.3,5.76,321.3
26/3/2025,2025,3,26,27.49,29.82,25.87,86.9,44.99,23.16,3.02,4.55,339.1
25/3/2025,2025,3,25,27.39,29.9,25.6,83.55,6.28,12.6,2.32,3.16,341.7
24/3/2025,2025,3,24,27.58,30.65,25.55,81.24,5.35,20.44,2,3.51,344.4
23/3/2025,2025,3,23,26.91,28.32,25.9,86.18,17.92,15.26,2.28,3.19,42.1
22/3/2025,2025,3,22,27.6,29.68,26.04,80.67,11.31,17.63,2.36,3.64,99.4
21/3/2025,2025,3,21,27.05,29.14,25.46,80.37,1.01,19.74,2.27,3.94,96.6
20/3/2025,2025,3,20,27.18,29.56,25.2,80.49,0.76,19.69,2.49,4.41,104.6
19/3/2025,2025,3,19,27.62,29.96,25.78,79.43,1.97,21.88,1.91,2.73,77.4
18/3/2025,2025,3,18,27.31,29.63,24.88,78.72,0.8,18.65,1.45,2.31,8.5
17/3/2025,2025,3,17,27.46,30.3,24.9,78.29,0.39,18.94,1.52,2.32,319.4
16/3/2025,2025,3,16,27.42,29.97,25.48,81.05,0.23,17.91,1.88,3.23,354.5
